GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.462963, relres: 0.0212544, relerr: 1.25027
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.547715, relres: 0.0213872, relerr: 1.14533
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.457829, relres: 0.0135448, relerr: 1.39808
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.416238, relres: 0.0154933, relerr: 1.18386
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.433305, relres: 0.0202381, relerr: 1.29282
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.448572, relres: 0.0219361, relerr: 1.21154
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.436701, relres: 0.0240895, relerr: 1.38233
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.422824, relres: 0.0232417, relerr: 1.31982
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.416032, relres: 0.0175385, relerr: 1.33167
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.420995, relres: 0.0220157, relerr: 1.25269
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.412365, relres: 0.0210848, relerr: 1.33105
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.408931, relres: 0.0250179, relerr: 1.34828
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.504858, relres: 0.0337635, relerr: 1.13129
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.414192, relres: 0.022886, relerr: 1.24512
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.425794, relres: 0.0241269, relerr: 1.45076
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.470269, relres: 0.0212472, relerr: 1.28993
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.421717, relres: 0.02845, relerr: 1.26767
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.410848, relres: 0.0256223, relerr: 1.2686
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.420531, relres: 0.0212156, relerr: 1.1715
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.419781, relres: 0.0218235, relerr: 1.36226
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.481672, relres: 0.0345039, relerr: 1.30572
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.415558, relres: 0.024454, relerr: 1.22584
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.45629, relres: 0.034273, relerr: 1.39236
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.502524, relres: 0.0342522, relerr: 1.40516
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.420659, relres: 0.0253043, relerr: 1.21384
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.418806, relres: 0.0186984, relerr: 1.15561
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.427252, relres: 0.0212166, relerr: 1.40971
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.416522, relres: 0.0171175, relerr: 1.22175
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.415878, relres: 0.0211726, relerr: 1.26566
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.419546, relres: 0.0259751, relerr: 1.21291
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.469587, relres: 0.0145038, relerr: 1.30087
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.429449, relres: 0.0225116, relerr: 1.35291
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.449504, relres: 0.0362465, relerr: 1.26299
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.474495, relres: 0.0259903, relerr: 1.25753
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.453683, relres: 0.0268474, relerr: 1.18835
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.417849, relres: 0.023676, relerr: 1.35237
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.425933, relres: 0.027632, relerr: 1.2702
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.447058, relres: 0.0193422, relerr: 1.26662
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.472595, relres: 0.0228179, relerr: 1.30126
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.488596, relres: 0.031982, relerr: 1.45177
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.456535, relres: 0.020542, relerr: 1.29799
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.556819, relres: 0.0218633, relerr: 1.45967
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.415164, relres: 0.0193702, relerr: 1.07654
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.422287, relres: 0.0247122, relerr: 1.17194
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.464165, relres: 0.0305891, relerr: 1.33713
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.434789, relres: 0.027289, relerr: 1.39443
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.416115, relres: 0.0386722, relerr: 1.24219
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.416393, relres: 0.0195822, relerr: 1.21009
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.422132, relres: 0.016726, relerr: 1.25069
GerSax -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.420066, relres: 0.0203045, relerr: 1.21187
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 1316, t: 0.265895, relres: 9.77114e-09, relerr: 4.27658e-08
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 1157, t: 0.235644, relres: 9.70231e-09, relerr: 4.58895e-08
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 1749, t: 0.345315, relres: 9.76427e-09, relerr: 4.31192e-08
