GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 1.05913, relres: 0.0357697, relerr: 1.39852
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.418728, relres: 0.0323711, relerr: 1.48846
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.419737, relres: 0.0347558, relerr: 1.52769
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.435978, relres: 0.0240851, relerr: 1.42763
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.415561, relres: 0.0268255, relerr: 1.42346
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.431571, relres: 0.0279183, relerr: 1.4951
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.443275, relres: 0.0368171, relerr: 1.47155
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.502353, relres: 0.0270426, relerr: 1.51261
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.40444, relres: 0.0238273, relerr: 1.55719
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.411384, relres: 0.0293126, relerr: 1.39654
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.535538, relres: 0.0308382, relerr: 1.46105
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.406713, relres: 0.0350919, relerr: 1.27461
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.408654, relres: 0.0357398, relerr: 1.53202
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.414673, relres: 0.034365, relerr: 1.51271
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.414112, relres: 0.0314712, relerr: 1.5293
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.414588, relres: 0.0342295, relerr: 1.5102
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.423489, relres: 0.0301561, relerr: 1.44437
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.411627, relres: 0.0401489, relerr: 1.37412
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.531568, relres: 0.0205755, relerr: 1.54011
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.418993, relres: 0.0188403, relerr: 1.45427
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.413976, relres: 0.0320533, relerr: 1.45821
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.488603, relres: 0.0199987, relerr: 1.50447
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.516427, relres: 0.0252119, relerr: 1.44298
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.415501, relres: 0.0182956, relerr: 1.47497
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.468888, relres: 0.0352625, relerr: 1.37468
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.442552, relres: 0.0300897, relerr: 1.61471
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.421408, relres: 0.0274641, relerr: 1.3939
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.415991, relres: 0.0230218, relerr: 1.49338
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.40898, relres: 0.0243206, relerr: 1.32746
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.438464, relres: 0.0278173, relerr: 1.45087
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.406522, relres: 0.0276211, relerr: 1.52724
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.409363, relres: 0.0257383, relerr: 1.50056
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.411713, relres: 0.0249144, relerr: 1.53197
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.40857, relres: 0.0366053, relerr: 1.53781
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.410302, relres: 0.0235914, relerr: 1.44253
GerSax -> cdp, rand_init, n: 256, m: 512, iter: 2500, t: 0.40899, relres: 0.018656, relerr: 1.49446
