Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.137659, relres: 0.144161, relerr: 1.45699
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.10367, relres: 0.184255, relerr: 1.44091
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.124949, relres: 0.226233, relerr: 1.41156
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.101548, relres: 0.224077, relerr: 1.40399
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.127765, relres: 0.270256, relerr: 1.38229
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.132431, relres: 0.265924, relerr: 1.54321
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.125115, relres: 0.206815, relerr: 1.42687
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.101062, relres: 0.146336, relerr: 1.38382
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.139209, relres: 0.186377, relerr: 1.45972
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.116814, relres: 0.22062, relerr: 1.48305
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.101272, relres: 0.292502, relerr: 1.41521
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.10159, relres: 0.206656, relerr: 1.40293
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.102685, relres: 0.206217, relerr: 1.45944
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.102911, relres: 0.239689, relerr: 1.46027
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.101097, relres: 0.236479, relerr: 1.35582
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.104812, relres: 0.189052, relerr: 1.40512
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.134731, relres: 0.253558, relerr: 1.41326
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.144026, relres: 0.208636, relerr: 1.35338
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.103131, relres: 0.225842, relerr: 1.42837
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.100874, relres: 0.247764, relerr: 1.47826
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.134661, relres: 0.188478, relerr: 1.34583
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.133387, relres: 0.161368, relerr: 1.37924
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.104926, relres: 0.240718, relerr: 1.39688
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.106298, relres: 0.171241, relerr: 1.36405
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.144778, relres: 0.186503, relerr: 1.31292
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.108177, relres: 0.207295, relerr: 1.4553
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.126723, relres: 0.17768, relerr: 1.3024
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.101914, relres: 0.210363, relerr: 1.29759
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.132916, relres: 0.269348, relerr: 1.5599
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.102524, relres: 0.216338, relerr: 1.37987
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.101494, relres: 0.225665, relerr: 1.41343
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.102434, relres: 0.21903, relerr: 1.4087
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.110067, relres: 0.215258, relerr: 1.50368
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.101282, relres: 0.231574, relerr: 1.55461
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.101684, relres: 0.235947, relerr: 1.38904
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.101036, relres: 0.140071, relerr: 1.36354
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.10114, relres: 0.295852, relerr: 1.32474
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.100693, relres: 0.253918, relerr: 1.36724
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.102719, relres: 0.344365, relerr: 1.53158
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.102686, relres: 0.241412, relerr: 1.37563
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.101462, relres: 0.232299, relerr: 1.48143
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.102052, relres: 0.174981, relerr: 1.46669
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.102278, relres: 0.20444, relerr: 1.45508
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.101346, relres: 0.225836, relerr: 1.43942
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.101546, relres: 0.15597, relerr: 1.33243
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.102187, relres: 0.265843, relerr: 1.48737
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.101967, relres: 0.259512, relerr: 1.45215
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.1011, relres: 0.249783, relerr: 1.53477
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.101782, relres: 0.2003, relerr: 1.43829
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 0.102056, relres: 0.217312, relerr: 1.49613
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.152675, relres: 0.436197, relerr: 1.15644
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.147439, relres: 0.544, relerr: 1.33397
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.149379, relres: 0.404859, relerr: 0.94196
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.20512, relres: 0.539668, relerr: 1.08553
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.1893, relres: 0.526401, relerr: 1.41664
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.199419, relres: 0.496844, relerr: 1.19823
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.146944, relres: 0.558467, relerr: 1.41029
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.157274, relres: 0.542132, relerr: 1.41814
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.185622, relres: 0.448847, relerr: 1.27017
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.148607, relres: 0.474518, relerr: 1.44365
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.146931, relres: 0.361744, relerr: 0.72339
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.147474, relres: 0.397319, relerr: 1.06005
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.15276, relres: 0.428904, relerr: 1.13073
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.155237, relres: 0.505455, relerr: 1.19436
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.181082, relres: 0.379276, relerr: 0.858649
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.157371, relres: 0.340214, relerr: 0.807949
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.15663, relres: 0.458134, relerr: 1.31435
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.153267, relres: 0.481329, relerr: 1.43699
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.153821, relres: 0.505787, relerr: 1.28597
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.155012, relres: 0.588671, relerr: 1.44213
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.195181, relres: 0.600505, relerr: 1.43472
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.172917, relres: 0.544852, relerr: 1.43005
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.157006, relres: 0.504871, relerr: 1.24117
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.162073, relres: 0.512003, relerr: 1.45338
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.188143, relres: 0.453265, relerr: 1.3193
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.17428, relres: 0.516525, relerr: 1.21041
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.149664, relres: 0.521349, relerr: 1.36247
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.154542, relres: 0.476136, relerr: 1.24002
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.166647, relres: 0.481182, relerr: 1.24863
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.155843, relres: 0.570226, relerr: 1.39508
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.159841, relres: 0.559409, relerr: 1.50945
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.178995, relres: 0.610136, relerr: 1.4331
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.166457, relres: 0.539027, relerr: 1.42909
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.151659, relres: 0.475595, relerr: 1.30705
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.15503, relres: 0.475352, relerr: 1.21922
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.160535, relres: 0.555815, relerr: 1.28339
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.156633, relres: 0.462652, relerr: 1.20125
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.154091, relres: 0.567113, relerr: 1.27717
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.149089, relres: 0.440768, relerr: 1.10422
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.157291, relres: 0.451661, relerr: 1.17109
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.154041, relres: 0.46458, relerr: 1.21241
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.166557, relres: 0.585898, relerr: 1.32086
