Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.343004, relres: 0.170212, relerr: 1.27768
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.362012, relres: 0.215454, relerr: 1.30032
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.301061, relres: 0.198979, relerr: 1.48259
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.312583, relres: 0.215708, relerr: 1.43642
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.321863, relres: 0.206784, relerr: 1.4287
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.342185, relres: 0.180864, relerr: 1.44819
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.307326, relres: 0.206396, relerr: 1.36438
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.303082, relres: 0.243723, relerr: 1.33412
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.306189, relres: 0.172947, relerr: 1.47603
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.300838, relres: 0.235944, relerr: 1.31986
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.300992, relres: 0.370483, relerr: 1.42086
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.338969, relres: 0.25457, relerr: 1.45718
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.300991, relres: 0.240182, relerr: 1.36172
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.30273, relres: 0.16808, relerr: 1.41262
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.307152, relres: 0.201132, relerr: 1.50816
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.304727, relres: 0.231877, relerr: 1.36176
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.304672, relres: 0.205053, relerr: 1.44565
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.382385, relres: 0.201509, relerr: 1.44975
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.307189, relres: 0.190191, relerr: 1.48161
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.365886, relres: 0.159674, relerr: 1.33748
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.319015, relres: 0.194682, relerr: 1.50645
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.327536, relres: 0.287146, relerr: 1.31935
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.356236, relres: 0.192535, relerr: 1.46981
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.309343, relres: 0.175702, relerr: 1.47184
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.311983, relres: 0.200485, relerr: 1.44623
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.305672, relres: 0.198492, relerr: 1.42381
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.30588, relres: 0.229711, relerr: 1.48403
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.305025, relres: 0.20789, relerr: 1.35826
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.320812, relres: 0.200453, relerr: 1.45983
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.320643, relres: 0.236532, relerr: 1.40219
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.364869, relres: 0.151606, relerr: 1.31823
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.311906, relres: 0.256087, relerr: 1.30682
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.334993, relres: 0.1759, relerr: 1.38804
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.359096, relres: 0.188866, relerr: 1.37197
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.309399, relres: 0.248162, relerr: 1.45628
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.306813, relres: 0.199363, relerr: 1.37798
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.317402, relres: 0.188523, relerr: 1.23553
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.359489, relres: 0.198556, relerr: 1.43929
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.365915, relres: 0.175863, relerr: 1.34874
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.335599, relres: 0.305065, relerr: 1.53514
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.390705, relres: 0.24442, relerr: 1.3547
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.389739, relres: 0.283227, relerr: 1.5715
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.301613, relres: 0.155606, relerr: 1.35721
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.337058, relres: 0.269962, relerr: 1.50081
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.301367, relres: 0.214003, relerr: 1.47602
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.39002, relres: 0.166815, relerr: 1.42764
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.302154, relres: 0.181954, relerr: 1.30734
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.302207, relres: 0.235643, relerr: 1.25677
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.301135, relres: 0.219401, relerr: 1.25842
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.301383, relres: 0.213482, relerr: 1.4975
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.451455, relres: 0.610147, relerr: 1.40693
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.462367, relres: 0.516186, relerr: 1.26187
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.462687, relres: 0.469109, relerr: 1.11124
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.46587, relres: 0.571119, relerr: 1.44025
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.466365, relres: 0.525836, relerr: 1.37898
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.465077, relres: 0.446814, relerr: 1.17454
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.55599, relres: 0.502661, relerr: 1.05616
