Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 10.9945, relres: 0.0288562, relerr: 1.17386
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 10.9209, relres: 0.0360015, relerr: 1.20231
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 10.4613, relres: 0.030966, relerr: 1.33576
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 11.0432, relres: 0.0250804, relerr: 1.15039
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 11.2255, relres: 0.0279421, relerr: 1.0573
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 11.3141, relres: 0.0389686, relerr: 1.25104
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 11.2771, relres: 0.0478839, relerr: 1.39112
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 10.8219, relres: 0.0276475, relerr: 1.10801
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 10.7591, relres: 0.0353757, relerr: 1.252
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 10.3212, relres: 0.0343055, relerr: 1.25463
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 10.3561, relres: 0.0381387, relerr: 1.28489
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 10.7678, relres: 0.0535736, relerr: 1.22593
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 10.9519, relres: 0.0370668, relerr: 0.984979
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 10.5664, relres: 0.0570938, relerr: 1.29823
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 10.5241, relres: 0.0416676, relerr: 1.36815
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 10.4623, relres: 0.0349262, relerr: 1.24806
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 10.6143, relres: 0.0530912, relerr: 1.24394
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 10.3913, relres: 0.039808, relerr: 1.2356
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 11.1525, relres: 0.0452764, relerr: 1.15547
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 10.428, relres: 0.0318138, relerr: 1.22977
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 10.4794, relres: 0.0469492, relerr: 1.25913
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 10.4022, relres: 0.043086, relerr: 1.14077
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 11.4642, relres: 0.0446236, relerr: 1.29946
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 11.6512, relres: 0.0650888, relerr: 1.39248
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 11.8583, relres: 0.0426374, relerr: 1.20366
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 12.1722, relres: 0.0319153, relerr: 1.15562
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 10.5413, relres: 0.0474482, relerr: 1.27373
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 10.4669, relres: 0.027717, relerr: 1.14063
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 10.4548, relres: 0.0464805, relerr: 1.27436
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 11.216, relres: 0.0330288, relerr: 1.10375
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 11.6689, relres: 0.0376908, relerr: 1.30186
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 11.451, relres: 0.0384947, relerr: 1.18805
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 11.4064, relres: 0.0480317, relerr: 1.23047
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 11.1623, relres: 0.0306684, relerr: 1.28298
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 11.8182, relres: 0.0332822, relerr: 1.11037
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 10.6503, relres: 0.047324, relerr: 1.19374
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 10.92, relres: 0.0496289, relerr: 1.25298
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 10.9574, relres: 0.0359163, relerr: 1.19016
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 11.0441, relres: 0.0581785, relerr: 1.4307
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 12.0192, relres: 0.042245, relerr: 1.45442
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 12.1624, relres: 0.0343113, relerr: 1.24658
Kaczmarz -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 11.6832, relres: 0.0394058, relerr: 1.37839
