Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 12.1306, relres: 0.0325749, relerr: 1.39128
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 13.0817, relres: 0.0491048, relerr: 1.49171
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 12.5998, relres: 0.0450984, relerr: 1.48798
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 12.4529, relres: 0.0510079, relerr: 1.42749
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 12.8735, relres: 0.0496285, relerr: 1.40227
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 12.8163, relres: 0.0544435, relerr: 1.42464
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 12.2834, relres: 0.0530538, relerr: 1.39427
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 12.1994, relres: 0.033797, relerr: 1.49614
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 12.3264, relres: 0.0436297, relerr: 1.44743
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 12.4606, relres: 0.0559268, relerr: 1.42142
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 12.0112, relres: 0.0467354, relerr: 1.45652
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 12.0362, relres: 0.0387794, relerr: 1.3431
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 12.7536, relres: 0.0412497, relerr: 1.4847
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 12.0159, relres: 0.0464017, relerr: 1.47422
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 12.064, relres: 0.0456986, relerr: 1.39772
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 12.2572, relres: 0.0618996, relerr: 1.42083
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 11.973, relres: 0.0536447, relerr: 1.46801
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 12.4688, relres: 0.0471198, relerr: 1.43304
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 12.3915, relres: 0.048703, relerr: 1.46374
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 12.0207, relres: 0.0380023, relerr: 1.33636
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 12.277, relres: 0.0396989, relerr: 1.49554
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 11.9449, relres: 0.0342331, relerr: 1.44727
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 12.8776, relres: 0.049893, relerr: 1.4561
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 12.6815, relres: 0.0352085, relerr: 1.37119
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 12.7771, relres: 0.0344315, relerr: 1.44024
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 11.2781, relres: 0.0683728, relerr: 1.55879
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 11.9061, relres: 0.0389608, relerr: 1.31822
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 13.0724, relres: 0.0428099, relerr: 1.33976
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 11.8769, relres: 0.0491818, relerr: 1.34251
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 11.8529, relres: 0.0536855, relerr: 1.30442
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 11.9868, relres: 0.0392171, relerr: 1.43777
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 11.8684, relres: 0.0413729, relerr: 1.48385
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 12.0318, relres: 0.0473305, relerr: 1.5012
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 11.8914, relres: 0.0385067, relerr: 1.48239
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 11.8573, relres: 0.044, relerr: 1.49546
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 12.0543, relres: 0.0432774, relerr: 1.4484
Kaczmarz -> cdp, rand_init, n: 256, m: 512, iter: 500, t: 12.5183, relres: 0.0506122, relerr: 1.48119
