Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.540413, relres: 0.03065, relerr: 1.27824
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.586494, relres: 0.0585833, relerr: 1.1591
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.567334, relres: 0.0289993, relerr: 1.33917
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.522081, relres: 0.019622, relerr: 1.08844
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.639748, relres: 0.0295126, relerr: 1.23844
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.628858, relres: 0.130609, relerr: 1.14913
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.614348, relres: 0.0325555, relerr: 1.28931
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.518391, relres: 0.0271674, relerr: 1.17941
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.52993, relres: 0.0742374, relerr: 1.28679
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.517575, relres: 0.0390943, relerr: 1.28561
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.528305, relres: 0.0336014, relerr: 1.35118
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.521348, relres: 0.0610972, relerr: 1.22996
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.555585, relres: 0.107315, relerr: 1.04389
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.525121, relres: 0.026673, relerr: 1.18146
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.519722, relres: 0.0339676, relerr: 1.26847
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.561743, relres: 0.0198384, relerr: 1.19852
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.521804, relres: 0.0295975, relerr: 1.19586
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.516649, relres: 0.0258905, relerr: 1.18067
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.531843, relres: 0.0247896, relerr: 1.06816
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.524778, relres: 0.03795, relerr: 1.25949
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.532086, relres: 0.0359948, relerr: 1.31295
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.516288, relres: 0.122994, relerr: 1.22338
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.539124, relres: 0.0289132, relerr: 1.26848
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.537427, relres: 0.0368371, relerr: 1.38662
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.625017, relres: 0.0194007, relerr: 1.20669
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.529996, relres: 0.0295027, relerr: 1.10786
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.522487, relres: 0.0253521, relerr: 1.32075
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.532442, relres: 0.0235579, relerr: 1.07165
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.52571, relres: 0.169916, relerr: 1.15413
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.583615, relres: 0.0263779, relerr: 0.989354
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.5811, relres: 0.0337081, relerr: 1.21891
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.541106, relres: 0.0832003, relerr: 1.28669
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.537511, relres: 0.0274616, relerr: 1.1692
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.551415, relres: 0.0232597, relerr: 1.3306
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.537664, relres: 0.0243121, relerr: 1.1175
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.526587, relres: 0.112768, relerr: 1.1537
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.523076, relres: 0.0209444, relerr: 1.27966
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.62458, relres: 0.0253015, relerr: 1.22786
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.576579, relres: 0.0991323, relerr: 1.24899
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.582619, relres: 0.0312585, relerr: 1.42659
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.538099, relres: 0.0279712, relerr: 1.2582
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.578868, relres: 0.0188626, relerr: 1.32603
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.52687, relres: 0.0352606, relerr: 1.1263
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.52163, relres: 0.0273825, relerr: 1.15843
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.561032, relres: 0.0353401, relerr: 1.26967
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.521703, relres: 0.0225612, relerr: 1.36709
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.61424, relres: 0.0304243, relerr: 1.21006
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.523156, relres: 0.028682, relerr: 1.13405
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.5193, relres: 0.0286217, relerr: 1.16486
Wirtinger -> cdp, eig_init, n: 256, m: 512, iter: 2500, t: 0.520085, relres: 0.0287445, relerr: 1.15795
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.590584, relres: 0.0669465, relerr: 0.372575
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.582879, relres: 0.105788, relerr: 0.749618
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.589886, relres: 0.000678839, relerr: 0.0048773
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.590853, relres: 0.132249, relerr: 1.13929
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.588, relres: 0.116464, relerr: 0.933976
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.586978, relres: 0.136326, relerr: 0.934167
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.588203, relres: 0.142045, relerr: 1.16252
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.595559, relres: 0.113856, relerr: 1.0131
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.596134, relres: 0.0184486, relerr: 0.112389
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.583898, relres: 0.12843, relerr: 1.08463
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.589221, relres: 0.143417, relerr: 1.12868
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.592136, relres: 4.11897e-05, relerr: 0.000324409
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.591047, relres: 0.14572, relerr: 1.09298
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.586072, relres: 0.110563, relerr: 0.900164
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.584507, relres: 0.123917, relerr: 0.922679
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.617178, relres: 0.126592, relerr: 1.05691
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.669201, relres: 0.000763587, relerr: 0.00520185
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.586602, relres: 0.129761, relerr: 1.13407
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.735412, relres: 0.101455, relerr: 0.79165
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.591429, relres: 0.137598, relerr: 1.06516
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.59236, relres: 0.0147334, relerr: 0.0849588
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.578897, relres: 0.118562, relerr: 0.988648
