GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 38.7723, relres: 0.0256928, relerr: 1.53303
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 38.3215, relres: 0.0256381, relerr: 1.52434
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 38.3513, relres: 0.0262654, relerr: 1.54006
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.7801, relres: 0.0258243, relerr: 1.53982
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 38.0116, relres: 0.0249883, relerr: 1.54527
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 38.0265, relres: 0.0259893, relerr: 1.5317
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.8965, relres: 0.0250659, relerr: 1.53326
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 38.0056, relres: 0.0260401, relerr: 1.53154
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 38.0702, relres: 0.0254683, relerr: 1.53811
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.7833, relres: 0.0257646, relerr: 1.53536
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.897, relres: 0.0252139, relerr: 1.53564
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 38.1265, relres: 0.0253779, relerr: 1.53094
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 38.3293, relres: 0.0262018, relerr: 1.53374
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.8874, relres: 0.0254139, relerr: 1.53389
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.8813, relres: 0.0255518, relerr: 1.54598
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 38.1156, relres: 0.0256061, relerr: 1.52884
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 38.1784, relres: 0.0259027, relerr: 1.53556
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.902, relres: 0.0253946, relerr: 1.53666
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.935, relres: 0.0251962, relerr: 1.54082
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.739, relres: 0.0253626, relerr: 1.52767
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.8062, relres: 0.0255821, relerr: 1.53981
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.7625, relres: 0.0254635, relerr: 1.54144
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.7343, relres: 0.025705, relerr: 1.53752
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.9381, relres: 0.0261929, relerr: 1.54116
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.9293, relres: 0.0255096, relerr: 1.53064
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.7376, relres: 0.0258633, relerr: 1.52629
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.9072, relres: 0.0256362, relerr: 1.53418
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.9569, relres: 0.0253797, relerr: 1.52898
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.8996, relres: 0.0252804, relerr: 1.53286
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.6826, relres: 0.0253957, relerr: 1.52018
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 38.0785, relres: 0.0258791, relerr: 1.53838
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.7075, relres: 0.0250735, relerr: 1.54097
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.869, relres: 0.0257762, relerr: 1.54257
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.7389, relres: 0.0257555, relerr: 1.5306
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.911, relres: 0.0256359, relerr: 1.54254
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.7873, relres: 0.0257975, relerr: 1.54231
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.944, relres: 0.025941, relerr: 1.53758
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.8321, relres: 0.0256147, relerr: 1.53735
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 38.1078, relres: 0.0253046, relerr: 1.54234
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.8836, relres: 0.0252783, relerr: 1.5383
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.793, relres: 0.0264401, relerr: 1.53509
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.9692, relres: 0.0254269, relerr: 1.52938
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.8659, relres: 0.0253379, relerr: 1.53486
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.949, relres: 0.0256048, relerr: 1.52751
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.896, relres: 0.0249398, relerr: 1.53186
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.7844, relres: 0.0259195, relerr: 1.53778
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.8381, relres: 0.0249817, relerr: 1.52581
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.8401, relres: 0.0257158, relerr: 1.53425
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.7592, relres: 0.0252657, relerr: 1.53605
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.9292, relres: 0.0255827, relerr: 1.53582
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.7567, relres: 0.200283, relerr: 1.50659
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.2392, relres: 0.198989, relerr: 1.50383
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.1532, relres: 0.198941, relerr: 1.49213
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.2911, relres: 0.198955, relerr: 1.47803
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.4414, relres: 0.198975, relerr: 1.48837
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 57.0651, relres: 0.196226, relerr: 1.48488
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.194, relres: 0.198137, relerr: 1.48328
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.2769, relres: 0.199728, relerr: 1.50004
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.3175, relres: 0.200481, relerr: 1.48812
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.3322, relres: 0.197834, relerr: 1.49587
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.5012, relres: 0.198077, relerr: 1.50657
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.3282, relres: 0.197968, relerr: 1.51335
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.2536, relres: 0.196697, relerr: 1.47175
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.0206, relres: 0.197753, relerr: 1.4746
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.25, relres: 0.198749, relerr: 1.4958
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.2095, relres: 0.199668, relerr: 1.50033
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.3405, relres: 0.198603, relerr: 1.49028
