GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 39.0576, relres: 0.0252217, relerr: 1.54706
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 38.5815, relres: 0.0257044, relerr: 1.55587
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 38.2426, relres: 0.0257697, relerr: 1.55296
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 38.232, relres: 0.0250247, relerr: 1.55014
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 40.945, relres: 0.025496, relerr: 1.54989
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 39.984, relres: 0.0255079, relerr: 1.55602
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 39.898, relres: 0.0261346, relerr: 1.56011
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 39.2524, relres: 0.0257212, relerr: 1.5547
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 41.4416, relres: 0.0258687, relerr: 1.557
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 43.0585, relres: 0.025868, relerr: 1.55435
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 39.6167, relres: 0.0253244, relerr: 1.55172
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 38.2675, relres: 0.0252156, relerr: 1.55048
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.7917, relres: 0.0257647, relerr: 1.55731
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.8887, relres: 0.0262588, relerr: 1.5589
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.8652, relres: 0.0253554, relerr: 1.55629
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 38.1231, relres: 0.0251248, relerr: 1.55028
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 45.4105, relres: 0.0255349, relerr: 1.5587
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 41.4281, relres: 0.0256462, relerr: 1.55578
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 39.001, relres: 0.0255199, relerr: 1.55611
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 38.8953, relres: 0.0265344, relerr: 1.54848
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 48.0789, relres: 0.025801, relerr: 1.55451
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 50.7651, relres: 0.0263382, relerr: 1.5541
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 56.1704, relres: 0.0254666, relerr: 1.55434
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 57.3613, relres: 0.0254922, relerr: 1.55771
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 45.8766, relres: 0.0263191, relerr: 1.54834
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 61.1202, relres: 0.0248855, relerr: 1.55582
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 55.8148, relres: 0.0254953, relerr: 1.55435
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 46.6609, relres: 0.0253991, relerr: 1.5591
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 40.7876, relres: 0.0257444, relerr: 1.54759
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 41.4418, relres: 0.0250337, relerr: 1.55975
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 38.89, relres: 0.0256299, relerr: 1.54871
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 38.7892, relres: 0.0257261, relerr: 1.55569
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 39.4712, relres: 0.0254193, relerr: 1.55171
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 40.7602, relres: 0.0259792, relerr: 1.55828
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 39.2517, relres: 0.0263429, relerr: 1.55807
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 39.0908, relres: 0.0257275, relerr: 1.55384
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.9474, relres: 0.0253691, relerr: 1.55178
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 38.8134, relres: 0.0254325, relerr: 1.55158
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 39.018, relres: 0.0258846, relerr: 1.55667
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 37.9433, relres: 0.0259631, relerr: 1.55903
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 38.4754, relres: 0.0253271, relerr: 1.55864
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 39.2674, relres: 0.026091, relerr: 1.55534
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 38.5035, relres: 0.0260186, relerr: 1.55619
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 38.3576, relres: 0.0254275, relerr: 1.54965
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 39.6103, relres: 0.0256521, relerr: 1.55013
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 39.0627, relres: 0.025799, relerr: 1.551
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 38.583, relres: 0.0258485, relerr: 1.5561
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 38.5296, relres: 0.0251146, relerr: 1.55327
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 38.0955, relres: 0.025872, relerr: 1.55452
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 39.2464, relres: 0.0254379, relerr: 1.55403
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 58.0921, relres: 0.196746, relerr: 1.52454
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 57.9242, relres: 0.197018, relerr: 1.51198
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 57.8606, relres: 0.196446, relerr: 1.51095
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 61.4128, relres: 0.197417, relerr: 1.51608
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 58.3427, relres: 0.1964, relerr: 1.51277
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.5389, relres: 0.195984, relerr: 1.50652
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.4864, relres: 0.196409, relerr: 1.51348
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 57.9816, relres: 0.196569, relerr: 1.50717
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 57.7879, relres: 0.196372, relerr: 1.51638
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.193, relres: 0.197549, relerr: 1.51665
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.5469, relres: 0.196991, relerr: 1.51564
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.4782, relres: 0.197141, relerr: 1.50949
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.4304, relres: 0.197328, relerr: 1.51902
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.5447, relres: 0.196045, relerr: 1.51247
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.1395, relres: 0.195282, relerr: 1.50316
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.6377, relres: 0.197394, relerr: 1.5178
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.4178, relres: 0.195632, relerr: 1.51786
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.6255, relres: 0.195818, relerr: 1.51843
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.3742, relres: 0.197223, relerr: 1.50607
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.3647, relres: 0.195836, relerr: 1.51315
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.286, relres: 0.196589, relerr: 1.51102
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.4499, relres: 0.196758, relerr: 1.51319
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.2242, relres: 0.195918, relerr: 1.52378
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.1859, relres: 0.196766, relerr: 1.51943
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.4769, relres: 0.195912, relerr: 1.51591
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.633, relres: 0.197717, relerr: 1.50227
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.3994, relres: 0.196393, relerr: 1.52214
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.752, relres: 0.197876, relerr: 1.51525
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.2236, relres: 0.19641, relerr: 1.51991
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.5667, relres: 0.194962, relerr: 1.51646
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.1402, relres: 0.196097, relerr: 1.52055
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.1842, relres: 0.197773, relerr: 1.51848
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 57.1508, relres: 0.196453, relerr: 1.51221
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.4205, relres: 0.196077, relerr: 1.52159
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.6917, relres: 0.196127, relerr: 1.51724
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.3418, relres: 0.194396, relerr: 1.51658
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.5591, relres: 0.196145, relerr: 1.51113
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.2736, relres: 0.196829, relerr: 1.52085
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.4118, relres: 0.196247, relerr: 1.52024
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 58.0652, relres: 0.19701, relerr: 1.51166
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 57.3575, relres: 0.196532, relerr: 1.51555
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 58.5415, relres: 0.196877, relerr: 1.50035
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 64.7073, relres: 0.197022, relerr: 1.51149
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 60.2754, relres: 0.195939, relerr: 1.51892
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.2528, relres: 0.196181, relerr: 1.52359
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 57.5966, relres: 0.196106, relerr: 1.51578
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 57.555, relres: 0.195666, relerr: 1.51134
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 57.2861, relres: 0.195651, relerr: 1.51372
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.6096, relres: 0.196796, relerr: 1.52095
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 56.8626, relres: 0.19588, relerr: 1.51533
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 76.2087, relres: 0.313156, relerr: 1.47425
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 76.45, relres: 0.314475, relerr: 1.47325
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 76.8123, relres: 0.313412, relerr: 1.47049
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 75.1554, relres: 0.314194, relerr: 1.484
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 75.4141, relres: 0.313174, relerr: 1.46954
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 75.9618, relres: 0.314191, relerr: 1.47405
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 75.4166, relres: 0.313677, relerr: 1.47546
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 75.5354, relres: 0.312777, relerr: 1.46476
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 75.2317, relres: 0.313082, relerr: 1.467
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 75.0629, relres: 0.314971, relerr: 1.46727
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 75.7115, relres: 0.312607, relerr: 1.46933
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 75.3122, relres: 0.314386, relerr: 1.46314
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 74.8196, relres: 0.313851, relerr: 1.48126
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 75.8201, relres: 0.313948, relerr: 1.47099
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 77.7209, relres: 0.314993, relerr: 1.46267
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 77.5498, relres: 0.313233, relerr: 1.47206
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 75.1455, relres: 0.313379, relerr: 1.47079
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 78.074, relres: 0.31288, relerr: 1.45301
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 75.5877, relres: 0.31332, relerr: 1.45985
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 78.429, relres: 0.313518, relerr: 1.47698
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 77.6869, relres: 0.313344, relerr: 1.46609
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 79.2421, relres: 0.312792, relerr: 1.47154
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 78.2661, relres: 0.312851, relerr: 1.45464
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 78.2471, relres: 0.313812, relerr: 1.47909
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 80.7876, relres: 0.313742, relerr: 1.47489
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 75.7269, relres: 0.31312, relerr: 1.48596
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 75.3825, relres: 0.313881, relerr: 1.47235
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 77.0636, relres: 0.313398, relerr: 1.46687
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 91.4159, relres: 0.313693, relerr: 1.47177
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 86.3925, relres: 0.313453, relerr: 1.47199
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 85.632, relres: 0.314117, relerr: 1.48081
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 83.6538, relres: 0.313591, relerr: 1.47189
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 87.6444, relres: 0.314412, relerr: 1.47884
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 85.23, relres: 0.312745, relerr: 1.48102
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 87.5783, relres: 0.314301, relerr: 1.47279
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 93.8271, relres: 0.313181, relerr: 1.4665
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 87.7685, relres: 0.314514, relerr: 1.46467
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 85.9264, relres: 0.31572, relerr: 1.45711
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 96.5531, relres: 0.313869, relerr: 1.47575
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 92.5207, relres: 0.313629, relerr: 1.45515
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 82.4455, relres: 0.313192, relerr: 1.47288
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 86.0979, relres: 0.313406, relerr: 1.46219
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 102.635, relres: 0.313862, relerr: 1.48213
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 96.6987, relres: 0.312702, relerr: 1.46312
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 83.3331, relres: 0.313564, relerr: 1.4814
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 82.5861, relres: 0.312481, relerr: 1.47239
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 84.3969, relres: 0.31431, relerr: 1.47309
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 93.6802, relres: 0.313664, relerr: 1.48426
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 102.089, relres: 0.312876, relerr: 1.46004
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 94.727, relres: 0.313795, relerr: 1.47328
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 113.785, relres: 0.392374, relerr: 1.41841
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 110.943, relres: 0.393003, relerr: 1.43123
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 110.217, relres: 0.394016, relerr: 1.43475
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 110.326, relres: 0.392239, relerr: 1.4213
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 110.362, relres: 0.392313, relerr: 1.43327
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 110.62, relres: 0.392084, relerr: 1.43898
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 110.56, relres: 0.393121, relerr: 1.43434
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 110.05, relres: 0.392016, relerr: 1.42148
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 110.184, relres: 0.392968, relerr: 1.42893
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 111.167, relres: 0.393032, relerr: 1.42784
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 109.985, relres: 0.392398, relerr: 1.43262
GerSax -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 2500, t: 112.142, relres: 0.392155, relerr: 1.42035
