Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.85583, relres: 0.214107, relerr: 1.5115
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.79037, relres: 0.210256, relerr: 1.51712
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.80152, relres: 0.21382, relerr: 1.50537
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.78443, relres: 0.212884, relerr: 1.50963
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.88991, relres: 0.210943, relerr: 1.51553
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.82294, relres: 0.211109, relerr: 1.51274
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.73409, relres: 0.216356, relerr: 1.50314
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.64413, relres: 0.215471, relerr: 1.50209
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.75853, relres: 0.212604, relerr: 1.51176
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 8.03339, relres: 0.208778, relerr: 1.50556
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.63117, relres: 0.214543, relerr: 1.51138
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 8.01226, relres: 0.214419, relerr: 1.51798
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.7768, relres: 0.213265, relerr: 1.51617
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.66218, relres: 0.213974, relerr: 1.51374
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.71805, relres: 0.212551, relerr: 1.50293
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.78887, relres: 0.212566, relerr: 1.51678
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.68521, relres: 0.213151, relerr: 1.51138
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.66831, relres: 0.21254, relerr: 1.51455
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.79994, relres: 0.213003, relerr: 1.50764
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.90736, relres: 0.215294, relerr: 1.511
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.81747, relres: 0.213952, relerr: 1.51176
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.69206, relres: 0.215127, relerr: 1.511
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.69471, relres: 0.211357, relerr: 1.50941
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.6715, relres: 0.210522, relerr: 1.51221
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.92739, relres: 0.215088, relerr: 1.5099
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.67819, relres: 0.216741, relerr: 1.50456
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.79736, relres: 0.214581, relerr: 1.50744
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.70796, relres: 0.21358, relerr: 1.5175
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.5876, relres: 0.211989, relerr: 1.50913
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.6421, relres: 0.212279, relerr: 1.51015
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.72959, relres: 0.216244, relerr: 1.51091
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.7325, relres: 0.214473, relerr: 1.50948
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.82952, relres: 0.212375, relerr: 1.51086
