Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.81754, relres: 0.214924, relerr: 1.50811
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.91159, relres: 0.212302, relerr: 1.50916
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.75864, relres: 0.214363, relerr: 1.5131
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.75288, relres: 0.2116, relerr: 1.5083
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 8.57727, relres: 0.211136, relerr: 1.51025
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.86342, relres: 0.215485, relerr: 1.51721
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 10.5118, relres: 0.215545, relerr: 1.51788
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.95246, relres: 0.210656, relerr: 1.50505
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 8.78214, relres: 0.209248, relerr: 1.50715
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 8.14011, relres: 0.217406, relerr: 1.5016
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.65207, relres: 0.213944, relerr: 1.50735
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.77343, relres: 0.210716, relerr: 1.51271
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.72045, relres: 0.214999, relerr: 1.51023
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.76912, relres: 0.214746, relerr: 1.51564
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.68181, relres: 0.214339, relerr: 1.51508
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 8.67982, relres: 0.211001, relerr: 1.51785
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 10.1948, relres: 0.212387, relerr: 1.50316
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 8.48191, relres: 0.21546, relerr: 1.50628
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.84889, relres: 0.212028, relerr: 1.50416
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.81641, relres: 0.213542, relerr: 1.50564
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 11.1476, relres: 0.209755, relerr: 1.51557
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 11.1468, relres: 0.212355, relerr: 1.50862
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 13.5101, relres: 0.211727, relerr: 1.51049
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 8.85156, relres: 0.210145, relerr: 1.51215
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 12.2663, relres: 0.210806, relerr: 1.49688
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 12.6314, relres: 0.208619, relerr: 1.50857
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 11.8161, relres: 0.212377, relerr: 1.50375
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 8.08303, relres: 0.21014, relerr: 1.51647
