Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 57.5415, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 58.681, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 57.9527, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 56.9033, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 56.2087, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 56.0645, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 56.424, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 57.1999, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 58.2441, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 57.6996, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 56.1694, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 57.1813, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 57.2219, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 56.3099, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 55.9362, relres: NaN, relerr: NaN
