GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.7122, relres: 0.0292356, relerr: 1.55149
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.6719, relres: 0.0220986, relerr: 1.22223
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.1984, relres: 0.0230303, relerr: 1.40531
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.1519, relres: 0.0175228, relerr: 1.28767
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 23.3776, relres: 0.0265185, relerr: 1.48107
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.648, relres: 0.0275453, relerr: 1.57805
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.7936, relres: 0.021169, relerr: 1.37248
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.7171, relres: 0.0201083, relerr: 1.38663
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.5172, relres: 0.0235491, relerr: 1.5001
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.7409, relres: 0.0183292, relerr: 1.49663
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.8143, relres: 0.0200387, relerr: 1.42922
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.9856, relres: 0.0174026, relerr: 1.32293
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.596, relres: 0.0233878, relerr: 1.34166
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.7046, relres: 0.0234231, relerr: 1.426
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.4919, relres: 0.0286838, relerr: 1.35813
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 23.2455, relres: 0.0166808, relerr: 1.54634
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 23.2708, relres: 0.0290723, relerr: 1.27523
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.3513, relres: 0.0176808, relerr: 1.2903
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.8752, relres: 0.0199124, relerr: 1.39665
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.6358, relres: 0.0174236, relerr: 1.3509
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.9635, relres: 0.0228349, relerr: 1.47119
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 21.6226, relres: 0.0230787, relerr: 1.54499
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.8544, relres: 0.0263268, relerr: 1.42283
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.7712, relres: 0.0237051, relerr: 1.33641
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.9501, relres: 0.0176991, relerr: 1.36709
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.6911, relres: 0.0292173, relerr: 1.45284
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 23.054, relres: 0.0243571, relerr: 1.54818
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 23.2305, relres: 0.0293476, relerr: 1.49427
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.6814, relres: 0.0342166, relerr: 1.36573
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.9652, relres: 0.0174062, relerr: 1.41297
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.5675, relres: 0.0201062, relerr: 1.54213
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.8383, relres: 0.0187206, relerr: 1.51441
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 23.9911, relres: 0.0269211, relerr: 1.3814
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.7837, relres: 0.0223941, relerr: 1.42135
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.9039, relres: 0.0154661, relerr: 1.50403
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.7691, relres: 0.0241459, relerr: 1.37927
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.777, relres: 0.0201188, relerr: 1.34679
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.4733, relres: 0.0229953, relerr: 1.59278
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.5427, relres: 0.0264898, relerr: 1.37321
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 21.8723, relres: 0.0151755, relerr: 1.31904
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.3802, relres: 0.0196156, relerr: 1.51396
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.1345, relres: 0.0265154, relerr: 1.47608
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.2841, relres: 0.0298239, relerr: 1.30793
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.3803, relres: 0.023459, relerr: 1.41832
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.7883, relres: 0.0321534, relerr: 1.43661
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 23.1894, relres: 0.0182443, relerr: 1.45519
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 21.5585, relres: 0.027372, relerr: 1.54494
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.8326, relres: 0.0216008, relerr: 1.35408
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.6522, relres: 0.0238534, relerr: 1.47907
GerSax -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 22.9748, relres: 0.0346308, relerr: 1.59973
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 19.9811, relres: 0.0680593, relerr: 1.41787
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.242, relres: 0.0594455, relerr: 1.516
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.4947, relres: 0.0589734, relerr: 1.31793
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.4597, relres: 0.0532131, relerr: 1.45297
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.3073, relres: 0.0533172, relerr: 1.59501
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 20.2736, relres: 0.0628156, relerr: 1.49056
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 20.7333, relres: 0.0577226, relerr: 1.59843
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 20.68, relres: 0.0607858, relerr: 1.3613
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.0893, relres: 0.0576236, relerr: 1.24487
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.4209, relres: 0.0545132, relerr: 1.43771
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.6834, relres: 0.0576338, relerr: 1.29587
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 20.5923, relres: 0.0657797, relerr: 1.45117
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.599, relres: 0.0471074, relerr: 1.14528
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.4351, relres: 0.0560965, relerr: 1.3803
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 20.884, relres: 0.0459346, relerr: 1.37178
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 20.6872, relres: 0.0639901, relerr: 1.48861
