GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 23.4761, relres: 0.0327871, relerr: 1.65246
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 24.2155, relres: 0.0222173, relerr: 1.69222
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 24.0973, relres: 0.031948, relerr: 1.50285
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 23.0904, relres: 0.0306137, relerr: 1.69409
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 23.5238, relres: 0.0238214, relerr: 1.6246
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 23.3501, relres: 0.0419876, relerr: 1.62739
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 24.0614, relres: 0.0314478, relerr: 1.67441
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 23.0485, relres: 0.0245772, relerr: 1.57788
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 23.8627, relres: 0.0223021, relerr: 1.66534
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 23.9233, relres: 0.0301747, relerr: 1.52513
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 23.4595, relres: 0.0214995, relerr: 1.6747
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 23.7887, relres: 0.0199093, relerr: 1.63274
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 24.1703, relres: 0.0333741, relerr: 1.60531
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 23.5474, relres: 0.0262024, relerr: 1.61926
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 23.8615, relres: 0.0275681, relerr: 1.67291
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 22.685, relres: 0.0317016, relerr: 1.53976
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 23.7079, relres: 0.0308715, relerr: 1.59372
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 23.5586, relres: 0.0274632, relerr: 1.60797
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 24.113, relres: 0.0441368, relerr: 1.65568
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 23.6881, relres: 0.0298974, relerr: 1.58624
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 23.1293, relres: 0.0190415, relerr: 1.57453
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 23.5906, relres: 0.0402056, relerr: 1.63101
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 23.7526, relres: 0.0346416, relerr: 1.5386
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 23.7307, relres: 0.0328248, relerr: 1.62818
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 24.5538, relres: 0.0222234, relerr: 1.66276
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 23.7212, relres: 0.0278756, relerr: 1.6233
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 23.0434, relres: 0.0199413, relerr: 1.48847
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 24.052, relres: 0.0250075, relerr: 1.61621
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 23.013, relres: 0.0339923, relerr: 1.52721
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 22.8809, relres: 0.0285685, relerr: 1.50585
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 23.5712, relres: 0.0220696, relerr: 1.5476
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 24.1359, relres: 0.0255258, relerr: 1.60003
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 24.2539, relres: 0.0281819, relerr: 1.63677
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 23.8812, relres: 0.0254881, relerr: 1.5931
GerSax -> gaussian, complex, rand_init, n: 256, m: 512, iter: 2500, t: 23.738, relres: 0.0270539, relerr: 1.68183
