GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.11289, relres: 0.551982, relerr: 1.02841
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 0.972445, relres: 0.403892, relerr: 0.846265
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.01475, relres: 0.610747, relerr: 1.14415
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.00034, relres: 0.524998, relerr: 1.26752
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 0.975414, relres: 0.670992, relerr: 1.40424
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.01362, relres: 0.649852, relerr: 1.27394
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.02832, relres: 0.736349, relerr: 1.15742
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.03608, relres: 0.784316, relerr: 1.39339
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.02519, relres: 0.813966, relerr: 1.29927
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.07497, relres: 0.561493, relerr: 1.07683
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.06214, relres: 0.538244, relerr: 0.999563
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.06326, relres: 0.63729, relerr: 1.2515
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.05675, relres: 0.524154, relerr: 1.01341
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.06857, relres: 0.488748, relerr: 0.981882
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.06771, relres: 0.433533, relerr: 0.909331
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.04472, relres: 0.6337, relerr: 1.08922
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.0836, relres: 0.587962, relerr: 1.0446
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.07064, relres: 0.465371, relerr: 0.915582
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.01425, relres: 0.756342, relerr: 1.42166
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.07979, relres: 0.415514, relerr: 0.802351
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.06483, relres: 0.706928, relerr: 1.31841
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.06051, relres: 0.688559, relerr: 1.14123
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.00519, relres: 0.706311, relerr: 1.07917
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 0.992643, relres: 0.643003, relerr: 1.02449
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.06219, relres: 0.486235, relerr: 1.0373
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.04741, relres: 0.490118, relerr: 0.956209
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.06833, relres: 0.539148, relerr: 0.994849
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.08148, relres: 0.567559, relerr: 0.946595
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.0587, relres: 0.474377, relerr: 0.944633
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.0691, relres: 0.462954, relerr: 0.875366
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.0196, relres: 0.632666, relerr: 1.16419
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.08518, relres: 0.499123, relerr: 0.887258
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.06234, relres: 0.496599, relerr: 1.09317
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.05793, relres: 0.654608, relerr: 1.05585
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.00689, relres: 0.587934, relerr: 0.929313
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.00705, relres: 0.588088, relerr: 1.17928
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.01772, relres: 0.704788, relerr: 1.17062
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.04941, relres: 0.519111, relerr: 1.01052
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.04486, relres: 0.500726, relerr: 0.919996
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 0.99981, relres: 0.604979, relerr: 1.39186
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 0.967407, relres: 0.738338, relerr: 1.05563
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.08486, relres: 0.664533, relerr: 1.18233
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.03818, relres: 0.607459, relerr: 1.07274
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 0.985325, relres: 0.570553, relerr: 0.943972
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 0.980696, relres: 0.544885, relerr: 1.09142
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.01815, relres: 0.529888, relerr: 1.07882
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.02462, relres: 0.559386, relerr: 1.11496
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.06696, relres: 0.512847, relerr: 0.98043
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.02195, relres: 0.504674, relerr: 1.15361
GerSax -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.04296, relres: 0.509898, relerr: 1.02133
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.08221, relres: 0.433469, relerr: 0.836963
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.02491, relres: 0.685762, relerr: 1.06454
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.0301, relres: 0.521534, relerr: 1.03543
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.04357, relres: 0.501216, relerr: 0.853381
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.09002, relres: 0.512562, relerr: 0.88964
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.09649, relres: 0.446552, relerr: 0.892052
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.13087, relres: 0.654973, relerr: 1.11594
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.09385, relres: 0.56061, relerr: 0.921961
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.04272, relres: 0.731199, relerr: 1.05241
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.09237, relres: 0.71545, relerr: 1.02838
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.09978, relres: 0.694539, relerr: 0.992485
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.07659, relres: 0.600718, relerr: 1.16621
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.08169, relres: 0.552815, relerr: 0.843551
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.1001, relres: 0.504135, relerr: 0.921979
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.05827, relres: 0.678605, relerr: 1.18733
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.06399, relres: 0.593631, relerr: 1.01133
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.02001, relres: 0.550762, relerr: 0.928038
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.06627, relres: 0.535848, relerr: 0.959685
