GerSax -> gaussian, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.10303, relres: 0.587804, relerr: 1.50227
GerSax -> gaussian, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.11387, relres: 0.623968, relerr: 1.44914
GerSax -> gaussian, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.26409, relres: 0.581462, relerr: 1.44766
GerSax -> gaussian, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.08262, relres: 0.62384, relerr: 1.45888
GerSax -> gaussian, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.14576, relres: 0.625124, relerr: 1.48215
GerSax -> gaussian, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.13288, relres: 0.661435, relerr: 1.38384
GerSax -> gaussian, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.02166, relres: 0.574722, relerr: 1.39416
GerSax -> gaussian, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.06385, relres: 0.628832, relerr: 1.29755
GerSax -> gaussian, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.22981, relres: 0.590209, relerr: 1.4032
GerSax -> gaussian, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.52968, relres: 0.659337, relerr: 1.48031
GerSax -> gaussian, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.03031, relres: 0.649673, relerr: 1.41228
GerSax -> gaussian, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.02617, relres: 0.598209, relerr: 1.45031
GerSax -> gaussian, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.14892, relres: 0.523994, relerr: 1.44167
GerSax -> gaussian, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.03912, relres: 0.570508, relerr: 1.43573
GerSax -> gaussian, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.21131, relres: 0.631318, relerr: 1.37391
GerSax -> gaussian, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.26595, relres: 0.621245, relerr: 1.50634
GerSax -> gaussian, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.12422, relres: 0.63346, relerr: 1.52099
GerSax -> gaussian, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.05917, relres: 0.640049, relerr: 1.53374
GerSax -> gaussian, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.09209, relres: 0.69895, relerr: 1.4377
GerSax -> gaussian, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.16647, relres: 0.648433, relerr: 1.49187
GerSax -> gaussian, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.14437, relres: 0.648662, relerr: 1.46248
GerSax -> gaussian, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.10107, relres: 0.620604, relerr: 1.4779
GerSax -> gaussian, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.13924, relres: 0.613067, relerr: 1.4387
GerSax -> gaussian, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.21598, relres: 0.63023, relerr: 1.32833
GerSax -> gaussian, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.21225, relres: 0.614595, relerr: 1.55012
GerSax -> gaussian, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.11425, relres: 0.627117, relerr: 1.39272
