Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 39.7672, relres: 0.317153, relerr: 1.69887
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 39.6871, relres: 0.28498, relerr: 1.72998
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 39.5197, relres: 0.291833, relerr: 1.61986
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 39.7369, relres: 0.373574, relerr: 1.65063
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 39.6114, relres: 0.264819, relerr: 1.59345
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 39.7135, relres: 0.29594, relerr: 1.6437
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 39.5214, relres: 0.288223, relerr: 1.67124
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 39.5852, relres: 0.309893, relerr: 1.4946
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 39.5551, relres: 0.316208, relerr: 1.65863
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 39.606, relres: 0.357885, relerr: 1.64623
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 41.8974, relres: 0.31418, relerr: 1.6813
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 43.6005, relres: 0.346782, relerr: 1.62529
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 45.626, relres: 0.333397, relerr: 1.68879
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 41.7329, relres: 0.297008, relerr: 1.57875
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 41.2264, relres: 0.336728, relerr: 1.60782
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 41.3484, relres: 0.312027, relerr: 1.66052
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 41.3459, relres: 0.381615, relerr: 1.6686
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 41.4216, relres: 0.36093, relerr: 1.60214
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 41.3712, relres: 0.357794, relerr: 1.76796
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 41.3647, relres: 0.294087, relerr: 1.59956
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 41.4509, relres: 0.340549, relerr: 1.67328
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 41.6942, relres: 0.271804, relerr: 1.64926
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 40.9866, relres: 0.242711, relerr: 1.71143
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 41.9404, relres: 0.339789, relerr: 1.65883
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 41.6571, relres: 0.307392, relerr: 1.63955
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 41.3131, relres: 0.328283, relerr: 1.62759
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 41.2488, relres: 0.327094, relerr: 1.73423
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 40.1296, relres: 0.327692, relerr: 1.57889
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 40.6369, relres: 0.28658, relerr: 1.70729
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 39.8361, relres: 0.249426, relerr: 1.61102
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 40.6575, relres: 0.340664, relerr: 1.63181
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 39.67, relres: 0.29826, relerr: 1.55376
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 40.5001, relres: 0.277041, relerr: 1.45538
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 39.8602, relres: 0.292534, relerr: 1.63378
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 40.1964, relres: 0.338551, relerr: 1.55042
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 39.8896, relres: 0.265722, relerr: 1.703
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 39.9131, relres: 0.327569, relerr: 1.67459
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 39.9476, relres: 0.272766, relerr: 1.63919
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 45.1094, relres: 0.318131, relerr: 1.62905
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 40.1647, relres: 0.322701, relerr: 1.7051
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 41.1416, relres: 0.334616, relerr: 1.71244
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 41.5477, relres: 0.347164, relerr: 1.6789
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 39.7832, relres: 0.352916, relerr: 1.81865
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 39.7939, relres: 0.306672, relerr: 1.65902
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 39.7079, relres: 0.254393, relerr: 1.62687
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 40.5831, relres: 0.285235, relerr: 1.75971
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 39.7473, relres: 0.401474, relerr: 1.757
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 39.6843, relres: 0.295526, relerr: 1.61916
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 39.6765, relres: 0.28325, relerr: 1.60778
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 39.9818, relres: 0.28643, relerr: 1.69368
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 43.2814, relres: 0.393958, relerr: 1.63751
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 42.4174, relres: 0.371565, relerr: 1.56418
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 42.9306, relres: 0.395138, relerr: 1.49793
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 42.9422, relres: 0.410061, relerr: 1.60278
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 47.404, relres: 0.440769, relerr: 1.62633
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 43.9413, relres: 0.344565, relerr: 1.51665
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 42.4237, relres: 0.392339, relerr: 1.46269
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 44.6672, relres: 0.368512, relerr: 1.64429
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 45.0055, relres: 0.425945, relerr: 1.66352
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 42.2367, relres: 0.388953, relerr: 1.61078
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 42.323, relres: 0.484356, relerr: 1.68465
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 42.5116, relres: 0.378045, relerr: 1.57577
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 43.2504, relres: 0.392765, relerr: 1.68977
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 42.5988, relres: 0.433316, relerr: 1.56682
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 44.1503, relres: 0.392759, relerr: 1.61256
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 43.5585, relres: 0.445201, relerr: 1.73008
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 42.3216, relres: 0.36035, relerr: 1.48434
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 43.5176, relres: 0.342333, relerr: 1.6054
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 42.6905, relres: 0.398363, relerr: 1.62211
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 43.7245, relres: 0.387684, relerr: 1.54355
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 42.3019, relres: 0.32614, relerr: 1.63924
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 42.4376, relres: 0.371207, relerr: 1.40726
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 43.6214, relres: 0.359163, relerr: 1.60574
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 43.7834, relres: 0.344099, relerr: 1.54609
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 42.4605, relres: 0.363383, relerr: 1.69483
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 47.7756, relres: 0.438047, relerr: 1.55083
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 47.9331, relres: 0.435185, relerr: 1.60292
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 43.6993, relres: 0.367501, relerr: 1.51451
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 43.4344, relres: 0.387224, relerr: 1.60018
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 44.1891, relres: 0.317264, relerr: 1.51055
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 43.3766, relres: 0.417443, relerr: 1.64818
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 43.498, relres: 0.389798, relerr: 1.60092
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 41.9833, relres: 0.403129, relerr: 1.62568
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 42.1026, relres: 0.380562, relerr: 1.62979
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 42.0691, relres: 0.289004, relerr: 1.56954
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 42.7331, relres: 0.329362, relerr: 1.5398
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 42.2758, relres: 0.409175, relerr: 1.61762
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 42.1403, relres: 0.431769, relerr: 1.48205
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 42.2001, relres: 0.38683, relerr: 1.60321
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 41.959, relres: 0.408592, relerr: 1.6205
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 42.7998, relres: 0.431633, relerr: 1.59877
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 42.3135, relres: 0.402801, relerr: 1.73256
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 42.3663, relres: 0.42534, relerr: 1.63022
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 43.9795, relres: 0.419968, relerr: 1.6247
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 45.1197, relres: 0.399993, relerr: 1.63873
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 43.4524, relres: 0.392631, relerr: 1.55899
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 42.1483, relres: 0.364873, relerr: 1.64238
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 42.0499, relres: 0.375283, relerr: 1.61731
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 41.9881, relres: 0.393353, relerr: 1.67746
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 42.039, relres: 0.384263, relerr: 1.51687
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 46.8344, relres: 0.494981, relerr: 1.58224
