Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.3428, relres: 0.0801896, relerr: 1.50318
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.369, relres: 0.0558937, relerr: 1.15249
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.3196, relres: 0.0571348, relerr: 1.15023
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.4074, relres: 0.0467896, relerr: 1.32837
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.4095, relres: 0.067882, relerr: 1.36584
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.4519, relres: 0.0527264, relerr: 1.3703
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.3219, relres: 0.0556052, relerr: 1.29332
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.7557, relres: 0.063577, relerr: 1.25175
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.3822, relres: 0.0906876, relerr: 1.49135
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.607, relres: 0.0718208, relerr: 1.53508
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.2769, relres: 0.0702601, relerr: 1.29653
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.3924, relres: 0.0696638, relerr: 1.29711
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.8004, relres: 0.0491448, relerr: 1.21813
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.5024, relres: 0.0728764, relerr: 1.30838
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.4072, relres: 0.0799953, relerr: 1.34074
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.4637, relres: 0.0734743, relerr: 1.46782
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.2774, relres: 0.0780601, relerr: 1.33448
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.4363, relres: 0.0488214, relerr: 1.11604
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.4098, relres: 0.0620559, relerr: 1.25573
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.4716, relres: 0.078111, relerr: 1.37877
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.3902, relres: 0.0647493, relerr: 1.34868
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.3976, relres: 0.0522796, relerr: 1.52099
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.2816, relres: 0.0893033, relerr: 1.46478
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.4225, relres: 0.0444203, relerr: 1.31772
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.2967, relres: 0.0717817, relerr: 1.33793
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.3242, relres: 0.0735823, relerr: 1.3843
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.3321, relres: 0.0746421, relerr: 1.48978
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.3726, relres: 0.0974703, relerr: 1.50617
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.3574, relres: 0.0860275, relerr: 1.36129
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.313, relres: 0.080527, relerr: 1.40087
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.3577, relres: 0.050859, relerr: 1.36556
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.3858, relres: 0.0570962, relerr: 1.38321
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.3549, relres: 0.0858798, relerr: 1.39812
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.4371, relres: 0.0582735, relerr: 1.439
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.3684, relres: 0.0559046, relerr: 1.4001
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.3778, relres: 0.0629974, relerr: 1.31097
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.3918, relres: 0.0606227, relerr: 1.28593
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.3414, relres: 0.0836898, relerr: 1.36962
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.3647, relres: 0.077865, relerr: 1.32077
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.3384, relres: 0.0903385, relerr: 1.44307
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.4332, relres: 0.065425, relerr: 1.42827
