Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 18.2194, relres: 0.436417, relerr: 0.789703
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 18.301, relres: 0.812476, relerr: 1.76743
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 18.8416, relres: 0.61394, relerr: 1.24668
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 18.8432, relres: 0.68657, relerr: 1.56261
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 20.3771, relres: 0.732718, relerr: 1.68851
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 20.6619, relres: 0.778831, relerr: 1.38347
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 22.2406, relres: 0.732395, relerr: 1.45322
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 18.709, relres: 0.721556, relerr: 1.62848
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 19.5096, relres: 0.90266, relerr: 1.79545
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 18.8303, relres: 0.728205, relerr: 1.57322
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 22.6542, relres: 0.612434, relerr: 1.7107
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 20.126, relres: 0.720909, relerr: 1.53783
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 23.2504, relres: 0.73756, relerr: 1.4906
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 19.244, relres: 0.770441, relerr: 1.80474
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 20.6797, relres: 0.667585, relerr: 1.41725
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 19.8049, relres: 0.792651, relerr: 1.57289
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 20.2862, relres: 0.821942, relerr: 1.45754
