Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 6.95896, relres: 0.411109, relerr: 0.81373
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 7.05247, relres: 0.378411, relerr: 0.853319
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 7.01964, relres: 0.55389, relerr: 1.19888
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 6.93982, relres: 0.713191, relerr: 1.47989
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 6.93091, relres: 0.60733, relerr: 1.4774
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 6.93537, relres: 0.597017, relerr: 1.56777
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 7.01449, relres: 0.497069, relerr: 0.99541
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 6.96136, relres: 0.521891, relerr: 1.4113
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 7.06266, relres: 0.59657, relerr: 1.6511
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 7.06389, relres: 0.46289, relerr: 0.962385
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 6.99702, relres: 0.590495, relerr: 1.10145
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 7.05626, relres: 0.62652, relerr: 1.66059
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 7.21142, relres: 0.355806, relerr: 0.729327
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 7.00168, relres: 0.40447, relerr: 0.921476
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 7.02088, relres: 0.316769, relerr: 0.584579
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 6.93799, relres: 0.404208, relerr: 0.840684
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 512, iter: 41, t: 1.01543, relres: 3.57435e-08, relerr: 5.97621e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 7.24687, relres: 0.190013, relerr: 0.289087
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 6.93648, relres: 0.596825, relerr: 1.40909
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 6.9958, relres: 0.511931, relerr: 1.19722
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 6.92328, relres: 0.5907, relerr: 1.59051
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 6.92397, relres: 0.588698, relerr: 1.25461
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 6.98512, relres: 0.494177, relerr: 1.11259
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 6.95832, relres: 0.518967, relerr: 1.30244
