Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 7.59043, relres: 0.0626057, relerr: 1.46264
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 6.07994, relres: 0.0290664, relerr: 1.0644
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 6.90343, relres: 0.039386, relerr: 1.11982
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 6.64271, relres: 0.0339806, relerr: 1.25011
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 6.58502, relres: 0.0452855, relerr: 1.30993
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 6.6922, relres: 0.0478353, relerr: 1.2701
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 6.67381, relres: 0.0527844, relerr: 1.21143
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 6.70639, relres: 0.0477282, relerr: 1.22091
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 6.41508, relres: 0.0386564, relerr: 1.21832
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 6.53045, relres: 0.038813, relerr: 1.31448
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 6.12407, relres: 0.0398381, relerr: 1.17977
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 6.41312, relres: 0.044727, relerr: 1.12254
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 6.63741, relres: 0.0394943, relerr: 1.29851
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 6.53871, relres: 0.0311137, relerr: 1.27724
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 6.78842, relres: 0.0454222, relerr: 1.16879
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 6.60666, relres: 0.04563, relerr: 1.31745
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 6.59867, relres: 0.0557427, relerr: 1.09345
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 6.26311, relres: 0.0332456, relerr: 1.05368
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 6.87893, relres: 0.0463766, relerr: 1.23582
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 6.82808, relres: 0.0432009, relerr: 1.34999
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 6.76598, relres: 0.0525198, relerr: 1.28171
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 6.37929, relres: 0.0506874, relerr: 1.49518
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 6.41967, relres: 0.0481922, relerr: 1.38499
