Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 10.6422, relres: 0.0562406, relerr: 1.56445
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 11.4404, relres: 0.034264, relerr: 1.36051
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 10.0573, relres: 0.0525571, relerr: 1.53985
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 12.78, relres: 0.0425908, relerr: 1.51491
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 10.0259, relres: 0.0418339, relerr: 1.47862
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 12.5966, relres: 0.055022, relerr: 1.47863
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 10.4225, relres: 0.0487763, relerr: 1.4783
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 13.1245, relres: 0.047078, relerr: 1.54096
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 10.4339, relres: 0.0673627, relerr: 1.41791
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 12.8183, relres: 0.0374219, relerr: 1.40904
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 10.0423, relres: 0.0447462, relerr: 1.50637
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 13.0476, relres: 0.052252, relerr: 1.57395
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 11.044, relres: 0.0422715, relerr: 1.42676
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 13.3768, relres: 0.0545449, relerr: 1.48975
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 10.7708, relres: 0.0457952, relerr: 1.53181
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 13.212, relres: 0.030882, relerr: 1.53794
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 10.5018, relres: 0.0401755, relerr: 1.48316
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 13.292, relres: 0.0430805, relerr: 1.55775
