Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 4.6898, relres: 0.383626, relerr: 0.7592
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 4.18224, relres: 0.334632, relerr: 0.75678
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 4.28694, relres: 0.506792, relerr: 1.06875
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 4.19683, relres: 0.537509, relerr: 1.31834
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 4.9463, relres: 0.514194, relerr: 1.37482
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 4.75698, relres: 0.506578, relerr: 1.46324
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 4.37673, relres: 0.501224, relerr: 1.07857
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 4.91206, relres: 0.429118, relerr: 1.38265
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 4.35076, relres: 0.509031, relerr: 1.508
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 4.45356, relres: 0.437909, relerr: 0.970449
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 5.04385, relres: 0.408407, relerr: 0.951259
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 4.49769, relres: 0.555148, relerr: 1.393
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 57, t: 1.05642, relres: 7.98233e-10, relerr: 1.79328e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 4.8182, relres: 0.163707, relerr: 0.353613
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 4.94767, relres: 0.355324, relerr: 0.933193
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 4.33676, relres: 0.392673, relerr: 0.925255
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 4.50992, relres: 0.40733, relerr: 0.950089
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 58, t: 1.0355, relres: 2.34243e-09, relerr: 4.68911e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 4.41122, relres: 0.507686, relerr: 1.13354
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 4.3178, relres: 0.356109, relerr: 0.856634
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 5.12474, relres: 0.531697, relerr: 1.20456
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 4.1817, relres: 0.322199, relerr: 0.728089
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 4.51653, relres: 0.411382, relerr: 0.842392
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 4.19311, relres: 0.522367, relerr: 1.31808
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 4.33125, relres: 0.401035, relerr: 0.851402
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 5.02821, relres: 0.408382, relerr: 0.914227
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 4.32094, relres: 0.402525, relerr: 0.770539
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 4.84181, relres: 0.382131, relerr: 0.861274
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 4.95542, relres: 0.294375, relerr: 0.604269
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 4.84492, relres: 0.391668, relerr: 0.687033
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 4.828, relres: 0.452355, relerr: 0.812019
