Kaczmarz -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 7.28326, relres: 0.546611, relerr: 1.50304
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 7.07287, relres: 0.561195, relerr: 1.38043
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 7.99546, relres: 0.550558, relerr: 1.52236
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 6.91841, relres: 0.490962, relerr: 1.33584
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 8.88679, relres: 0.509981, relerr: 1.48233
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 7.95456, relres: 0.517356, relerr: 1.0759
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 8.11127, relres: 0.520659, relerr: 1.46164
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 7.24098, relres: 0.476159, relerr: 1.39746
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 8.05476, relres: 0.518155, relerr: 1.14849
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 7.71, relres: 0.468522, relerr: 1.4054
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.43983, relres: 0.464726, relerr: 1.03649
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 7.78664, relres: 0.486586, relerr: 1.43511
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.83999, relres: 0.334163, relerr: 0.77645
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 8.30699, relres: 0.58629, relerr: 1.50129
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 8.0013, relres: 0.562331, relerr: 1.55875
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 7.75388, relres: 0.518517, relerr: 1.55216
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 7.93293, relres: 0.50348, relerr: 1.35153
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 7.56993, relres: 0.543598, relerr: 1.36806
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 7.37637, relres: 0.456679, relerr: 1.47273
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 7.19025, relres: 0.604817, relerr: 1.61843
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 7.59084, relres: 0.640342, relerr: 1.41153
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 7.32084, relres: 0.560735, relerr: 1.33596
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 8.18968, relres: 0.553187, relerr: 1.48852
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 7.62999, relres: 0.545887, relerr: 1.45806
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 7.35744, relres: 0.49079, relerr: 1.1906
