Wirtinger -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 5.1662, relres: 0.0313574, relerr: 1.38909
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 5.02355, relres: 0.0149592, relerr: 0.999901
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 5.14031, relres: 0.0265031, relerr: 1.21433
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 5.03103, relres: 0.0378064, relerr: 1.18464
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 5.19352, relres: 0.0266495, relerr: 1.34408
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 5.00628, relres: 0.0641207, relerr: 1.32812
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 5.03293, relres: 0.029915, relerr: 1.25159
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 5.00071, relres: 0.0706275, relerr: 1.26695
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 4.98082, relres: 0.158187, relerr: 1.3126
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 4.91306, relres: 0.0202615, relerr: 1.30022
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 4.92729, relres: 0.022594, relerr: 1.17062
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 5.07655, relres: 0.0260564, relerr: 1.09709
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 5.19979, relres: 0.0230645, relerr: 1.19526
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 5.05341, relres: 0.0247485, relerr: 1.19011
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 5.07764, relres: 0.0269456, relerr: 1.18103
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 4.9893, relres: 0.152662, relerr: 1.34532
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 5.10561, relres: 0.107639, relerr: 1.17054
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 4.97332, relres: 0.078881, relerr: 1.20153
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 5.07132, relres: 0.0239647, relerr: 1.22743
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 5.01362, relres: 0.0420526, relerr: 1.28802
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 5.10502, relres: 0.0217554, relerr: 1.21785
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 4.99073, relres: 0.0303852, relerr: 1.41599
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 5.13805, relres: 0.0994522, relerr: 1.43159
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 5.16468, relres: 0.0253791, relerr: 1.18273
