Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.15614, relres: 0.277386, relerr: 0.108401
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.22775, relres: 0.291695, relerr: 0.649973
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.35545, relres: 0.279751, relerr: 1.06841
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.26281, relres: 0.314656, relerr: 1.31549
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.39272, relres: 0.45339, relerr: 1.50976
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.27389, relres: 0.386195, relerr: 1.45684
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.37318, relres: 0.468508, relerr: 1.10561
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.25253, relres: 0.396177, relerr: 1.63081
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.37084, relres: 0.373007, relerr: 1.63318
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.31092, relres: 0.49886, relerr: 0.899323
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.41434, relres: 0.252583, relerr: 0.714561
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.25453, relres: 0.332515, relerr: 1.40332
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.43209, relres: 0.252361, relerr: 0.912436
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.2708, relres: 0.377808, relerr: 0.809066
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.46065, relres: 0.540601, relerr: 0.918842
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.33111, relres: NaN, relerr: NaN
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.42221, relres: 0.362013, relerr: 0.918893
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.26913, relres: 0.435361, relerr: 0.378414
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.45229, relres: 0.485142, relerr: 1.55402
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.27965, relres: 0.330698, relerr: 1.41427
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.41173, relres: 0.300139, relerr: 1.21167
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.2587, relres: 0.330347, relerr: 1.30985
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.38015, relres: 0.321844, relerr: 1.11237
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.27772, relres: 0.430189, relerr: 1.13535
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.40117, relres: 0.27574, relerr: 0.705403
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.24472, relres: 0.303221, relerr: 0.0919535
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.44701, relres: 0.257152, relerr: 1.08951
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.25019, relres: 0.347687, relerr: 0.499837
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.40859, relres: 0.324948, relerr: 0.113583
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.26411, relres: 0.388841, relerr: 0.667928
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.3601, relres: 0.341806, relerr: 1.34548
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.29607, relres: 0.338186, relerr: 0.105791
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.41576, relres: 0.326412, relerr: 1.15204
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.25754, relres: 0.334711, relerr: 1.12012
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.36974, relres: 0.396054, relerr: 0.675982
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.24965, relres: 0.422393, relerr: 1.16174
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.46098, relres: 0.343511, relerr: 1.22822
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.28572, relres: 0.425858, relerr: 1.12186
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.44416, relres: 0.385174, relerr: 0.129401
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.25047, relres: 0.426055, relerr: 1.54639
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.49143, relres: NaN, relerr: NaN
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.26709, relres: 0.43306, relerr: 1.57252
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.43847, relres: 0.384932, relerr: 1.16491
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.28415, relres: 0.298278, relerr: 0.820624
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.43012, relres: 0.352332, relerr: 1.00185
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.2778, relres: 0.33904, relerr: 1.16547
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.38358, relres: 0.356603, relerr: 1.16921
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.24683, relres: 0.359044, relerr: 0.856169
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.41884, relres: 0.245194, relerr: 1.0698
Wirtinger -> gaussian, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.24386, relres: 0.352759, relerr: 1.12154
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.474, relres: 0.219706, relerr: 0.0739248
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.4229, relres: 0.303259, relerr: 0.575068
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.42253, relres: 0.32718, relerr: 1.01511
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.42898, relres: 0.400308, relerr: 1.11242
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.43078, relres: 0.448362, relerr: 0.101546
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.39306, relres: 0.515971, relerr: 0.083953
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.48562, relres: 0.333499, relerr: 0.972692
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.43352, relres: 0.378001, relerr: 0.746171
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.43481, relres: 0.287115, relerr: 0.540115
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.39081, relres: 0.301869, relerr: 0.986043
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.43683, relres: 0.409619, relerr: 1.00125
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.42351, relres: 0.432828, relerr: 1.49286
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.49402, relres: 0.381228, relerr: 0.55327
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.39447, relres: 0.323099, relerr: 0.123569
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.49958, relres: 0.334311, relerr: 1.28209
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.39053, relres: 0.425406, relerr: 0.839346
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.46522, relres: 0.359732, relerr: 0.637042
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.45004, relres: 0.298937, relerr: 0.236126
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.46793, relres: 0.299438, relerr: 0.996966
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.37844, relres: 0.437923, relerr: 0.92536
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.42804, relres: 0.284118, relerr: 0.219659
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.38006, relres: 0.283308, relerr: 1.03367
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.4461, relres: 0.405994, relerr: 1.52657
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.41386, relres: 0.289879, relerr: 0.702772
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.43125, relres: 0.35988, relerr: 1.01463
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.44816, relres: 0.459142, relerr: 1.29632
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.44666, relres: 0.293964, relerr: 0.431606
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.38784, relres: 0.39789, relerr: 1.30892
