GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 1, iter: 254, t: 859.2, relres: 8.07278e-11, relerr: 1.24255e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 2, iter: 200, t: 684.024, relres: 0.623672, relerr: 1.27995
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 3, iter: 258, t: 878.091, relres: 9.34442e-11, relerr: 1.43643e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 1, iter: 200, t: 679.572, relres: 0.614618, relerr: 1.18489
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 2, iter: 232, t: 783.629, relres: 9.95994e-11, relerr: 1.53232e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 3, iter: 200, t: 676.904, relres: 0.624497, relerr: 1.32255
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 1, iter: 200, t: 678.334, relres: 0.620326, relerr: 1.25293
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 2, iter: 200, t: 681.98, relres: 0.616825, relerr: 1.18611
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 3, iter: 200, t: 676.586, relres: 0.613765, relerr: 1.16232
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 1, iter: 269, t: 911.274, relres: 8.53387e-11, relerr: 1.31139e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 2, iter: 200, t: 676.758, relres: 0.618225, relerr: 1.2215
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 3, iter: 282, t: 958.401, relres: 9.22143e-11, relerr: 1.41835e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 1, iter: 200, t: 671.717, relres: 0.638175, relerr: 1.31651
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 2, iter: 200, t: 677.094, relres: 0.637611, relerr: 1.32265
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 3, iter: 200, t: 681.377, relres: 0.63797, relerr: 1.30409
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 1, iter: 200, t: 671.999, relres: 0.637044, relerr: 1.30859
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 2, iter: 200, t: 677.911, relres: 0.638671, relerr: 1.31789
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 3, iter: 200, t: 680.474, relres: 0.620157, relerr: 1.21288
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 1, iter: 200, t: 681.17, relres: 0.623934, relerr: 1.31146
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 2, iter: 232, t: 787.861, relres: 9.92914e-11, relerr: 1.52723e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 3, iter: 200, t: 677.761, relres: 0.61882, relerr: 1.23164
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 1, iter: 200, t: 676.662, relres: 0.623462, relerr: 1.28527
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 2, iter: 189, t: 639.759, relres: 9.61296e-11, relerr: 1.47807e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 3, iter: 269, t: 905.101, relres: 9.73245e-11, relerr: 1.4969e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 1, iter: 167, t: 564.668, relres: 8.18321e-11, relerr: 1.25833e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 2, iter: 246, t: 829.912, relres: 7.69081e-11, relerr: 1.18328e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 3, iter: 262, t: 891.584, relres: 9.20582e-11, relerr: 1.4152e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 1, iter: 268, t: 908.034, relres: 9.20363e-11, relerr: 1.41542e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 2, iter: 267, t: 914.296, relres: 7.91474e-11, relerr: 1.21736e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 3, iter: 307, t: 1041.06, relres: 8.1637e-11, relerr: 1.25601e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 1, iter: 456, t: 526.97, relres: 0.721548, relerr: 1.47371
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 2, iter: 462, t: 524.802, relres: 0.707018, relerr: 1.47153
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 3, iter: 452, t: 511.973, relres: 0.685482, relerr: 1.4746
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 1, iter: 458, t: 518.418, relres: 0.705487, relerr: 1.47222
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 2, iter: 406, t: 462.791, relres: 0.574958, relerr: 1.47629
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 3, iter: 404, t: 462.879, relres: 0.576841, relerr: 1.47286
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 1, iter: 422, t: 483.708, relres: 0.644806, relerr: 1.4775
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 2, iter: 444, t: 500.635, relres: 0.656869, relerr: 1.47452
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 3, iter: 457, t: 517.71, relres: 0.713257, relerr: 1.47139
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 1, iter: 415, t: 470.275, relres: 0.575154, relerr: 1.47359
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 2, iter: 383, t: 431.398, relres: 0.583687, relerr: 1.46625
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 3, iter: 410, t: 461.022, relres: 0.598894, relerr: 1.4734
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 1, iter: 436, t: 497.095, relres: 0.652873, relerr: 1.47425
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 2, iter: 356, t: 402.975, relres: 0.503375, relerr: 1.46653
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 3, iter: 473, t: 532.374, relres: 0.69648, relerr: 1.47157
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 1, iter: 421, t: 474.449, relres: 0.588727, relerr: 1.46817
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 2, iter: 446, t: 504.614, relres: 0.686695, relerr: 1.47094
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 3, iter: 401, t: 462.957, relres: 0.586922, relerr: 1.46385
