GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 65536, iter: 200, t: 1.50594, relres: 0.370251, relerr: 1.3791
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 65536, iter: 200, t: 1.4679, relres: 0.348965, relerr: 1.36258
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 65536, iter: 200, t: 1.46122, relres: 0.358345, relerr: 1.32563
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 65536, iter: 200, t: 1.47095, relres: 0.355575, relerr: 1.33573
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 65536, iter: 200, t: 1.47327, relres: 0.352832, relerr: 1.35561
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 65536, iter: 200, t: 1.45328, relres: 0.360329, relerr: 1.33912
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 65536, iter: 200, t: 1.46495, relres: 0.343427, relerr: 1.42523
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 65536, iter: 200, t: 1.42624, relres: 0.357877, relerr: 1.33882
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 65536, iter: 200, t: 1.40994, relres: 0.352888, relerr: 1.32526
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 65536, iter: 200, t: 1.41592, relres: 0.340352, relerr: 1.29968
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 131072, iter: 322, t: 4.67003, relres: 8.60122e-11, relerr: 1.54154e-10
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 131072, iter: 200, t: 2.94862, relres: 0.530234, relerr: 1.14864
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 131072, iter: 164, t: 2.28038, relres: 8.86865e-11, relerr: 1.61918e-10
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 131072, iter: 363, t: 5.21027, relres: 8.35986e-11, relerr: 1.52012e-10
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 131072, iter: 251, t: 3.6659, relres: 9.3359e-11, relerr: 1.68157e-10
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 131072, iter: 124, t: 1.78221, relres: 9.20931e-11, relerr: 1.68056e-10
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 131072, iter: 136, t: 2.00028, relres: 8.7326e-11, relerr: 1.56272e-10
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 131072, iter: 200, t: 2.87846, relres: 0.519083, relerr: 1.09282
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 131072, iter: 200, t: 2.8237, relres: 0.543992, relerr: 1.29483
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 131072, iter: 200, t: 2.9283, relres: 0.534444, relerr: 1.1958
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 196608, iter: 88, t: 1.96995, relres: 8.72587e-11, relerr: 1.3433e-10
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 196608, iter: 80, t: 1.8015, relres: 9.99306e-11, relerr: 1.54244e-10
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 196608, iter: 92, t: 2.06811, relres: 7.77982e-11, relerr: 1.18781e-10
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 196608, iter: 83, t: 2.00982, relres: 8.29341e-11, relerr: 1.28256e-10
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 196608, iter: 83, t: 1.78278, relres: 8.39495e-11, relerr: 1.28165e-10
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 196608, iter: 81, t: 1.79676, relres: 9.03327e-11, relerr: 1.39068e-10
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 196608, iter: 186, t: 4.0672, relres: 8.37534e-11, relerr: 1.28004e-10
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 196608, iter: 98, t: 2.1516, relres: 8.98501e-11, relerr: 1.37329e-10
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 196608, iter: 80, t: 1.7028, relres: 8.74828e-11, relerr: 1.34968e-10
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 196608, iter: 80, t: 1.76237, relres: 9.53753e-11, relerr: 1.47811e-10
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 262144, iter: 67, t: 2.1669, relres: 9.68184e-11, relerr: 1.36073e-10
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 262144, iter: 71, t: 2.09083, relres: 9.83745e-11, relerr: 1.37797e-10
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 262144, iter: 73, t: 2.14807, relres: 7.92217e-11, relerr: 1.11816e-10
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 262144, iter: 68, t: 1.92471, relres: 8.53771e-11, relerr: 1.20767e-10
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 262144, iter: 67, t: 1.96534, relres: 9.6934e-11, relerr: 1.36553e-10
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 262144, iter: 68, t: 1.9903, relres: 7.9515e-11, relerr: 1.11801e-10
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 262144, iter: 67, t: 2.00012, relres: 9.80817e-11, relerr: 1.39352e-10
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 262144, iter: 68, t: 1.94024, relres: 9.53141e-11, relerr: 1.34768e-10
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 262144, iter: 68, t: 1.99685, relres: 8.39526e-11, relerr: 1.18796e-10
GerSax -> cdp2d, eig_init, n1: 128, n2: 128, m: 262144, iter: 68, t: 1.93398, relres: 8.7199e-11, relerr: 1.23962e-10
