Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 1, iter: 18, t: 67.9394, relres: 2.03074e-11, relerr: 2.18476e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 2, iter: 20, t: 72.1786, relres: 1.23935e-11, relerr: 1.33303e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 3, iter: 18, t: 65.773, relres: 4.36814e-11, relerr: 4.69636e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 1, iter: 19, t: 68.4766, relres: 1.14438e-11, relerr: 1.23053e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 2, iter: 18, t: 64.6287, relres: 9.1054e-12, relerr: 9.79588e-12
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 3, iter: 21, t: 78.666, relres: 1.29905e-11, relerr: 1.39695e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 1, iter: 20, t: 71.9442, relres: 1.15358e-11, relerr: 1.24069e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 2, iter: 20, t: 73.907, relres: 2.61701e-11, relerr: 2.81429e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 3, iter: 19, t: 69.8786, relres: 5.43311e-11, relerr: 5.84319e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 1, iter: 18, t: 64.6843, relres: 7.48157e-12, relerr: 8.04388e-12
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 2, iter: 20, t: 72.5716, relres: 1.01025e-11, relerr: 1.08588e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 3, iter: 18, t: 67.4432, relres: 6.26182e-11, relerr: 6.73246e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 1, iter: 22, t: 81.5499, relres: 2.61299e-11, relerr: 2.81037e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 2, iter: 20, t: 73.5948, relres: 4.20141e-11, relerr: 4.51692e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 3, iter: 19, t: 69.1955, relres: 7.10288e-11, relerr: 7.63529e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 1, iter: 22, t: 82.2259, relres: 1.38262e-11, relerr: 1.48771e-11
