Block Kaczmarz -> cdp2d, eig_init, n1: 128, n2: 128, m: 65536, iter: 154, t: 1.3026, relres: 4.4069e-10, relerr: 6.60487e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 128, n2: 128, m: 65536, iter: 168, t: 1.33411, relres: 5.39181e-10, relerr: 8.05156e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 128, n2: 128, m: 65536, iter: 169, t: 1.35445, relres: 4.75834e-10, relerr: 7.01127e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 128, n2: 128, m: 65536, iter: 153, t: 1.26334, relres: 4.6683e-10, relerr: 6.9473e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 128, n2: 128, m: 65536, iter: 174, t: 1.42497, relres: 5.69314e-10, relerr: 8.54116e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 128, n2: 128, m: 65536, iter: 183, t: 1.48597, relres: 5.25125e-10, relerr: 7.93515e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 128, n2: 128, m: 65536, iter: 186, t: 1.48063, relres: 5.47801e-10, relerr: 8.29259e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 128, n2: 128, m: 65536, iter: 155, t: 1.24096, relres: 5.548e-10, relerr: 8.37799e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 128, n2: 128, m: 65536, iter: 148, t: 1.16814, relres: 5.25157e-10, relerr: 7.97613e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 128, n2: 128, m: 65536, iter: 197, t: 1.52627, relres: 5.51198e-10, relerr: 8.27437e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 128, n2: 128, m: 131072, iter: 23, t: 0.371388, relres: 5.20436e-11, relerr: 5.87899e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 128, n2: 128, m: 131072, iter: 23, t: 0.420463, relres: 7.68353e-11, relerr: 8.71147e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 128, n2: 128, m: 131072, iter: 21, t: 0.370878, relres: 5.02237e-11, relerr: 5.78149e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 128, n2: 128, m: 131072, iter: 26, t: 0.430187, relres: 6.83474e-11, relerr: 7.84116e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 128, n2: 128, m: 131072, iter: 22, t: 0.370515, relres: 1.64699e-10, relerr: 1.87097e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 128, n2: 128, m: 131072, iter: 18, t: 0.362596, relres: 1.629e-10, relerr: 1.8798e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 128, n2: 128, m: 131072, iter: 19, t: 0.317344, relres: 1.09736e-10, relerr: 1.24244e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 128, n2: 128, m: 131072, iter: 25, t: 0.441533, relres: 4.43613e-11, relerr: 5.02575e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 128, n2: 128, m: 131072, iter: 29, t: 0.48231, relres: 5.62324e-11, relerr: 6.35779e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 128, n2: 128, m: 131072, iter: 23, t: 0.408568, relres: 1.88052e-10, relerr: 2.12025e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 128, n2: 128, m: 196608, iter: 12, t: 0.344322, relres: 1.78561e-11, relerr: 1.91611e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 128, n2: 128, m: 196608, iter: 11, t: 0.300412, relres: 1.15855e-11, relerr: 1.25496e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 128, n2: 128, m: 196608, iter: 12, t: 0.338605, relres: 4.43921e-11, relerr: 4.80054e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 128, n2: 128, m: 196608, iter: 11, t: 0.323788, relres: 2.41705e-11, relerr: 2.59342e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 128, n2: 128, m: 196608, iter: 11, t: 0.280639, relres: 3.63126e-11, relerr: 3.88881e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 128, n2: 128, m: 196608, iter: 11, t: 0.272206, relres: 1.05998e-11, relerr: 1.14263e-11
