Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 1, iter: 376, t: 1098.79, relres: 9.25478e-11, relerr: 1.87706e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 2, iter: 3, t: 7.35797, relres: 3.22634e+10, relerr: 10475.7
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 3, iter: 382, t: 1117.31, relres: 9.27936e-11, relerr: 1.88086e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 1, iter: 3, t: 7.38798, relres: 5.83096e+09, relerr: 4456.35
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 2, iter: 365, t: 1063.11, relres: 9.28121e-11, relerr: 1.88245e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 3, iter: 549, t: 1604.59, relres: 9.4641e-11, relerr: 1.91921e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 1, iter: 465, t: 1358.91, relres: 9.57163e-11, relerr: 1.94045e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 2, iter: 3, t: 7.37316, relres: 2.91407e+13, relerr: 315201
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 3, iter: 428, t: 1252.88, relres: 9.23539e-11, relerr: 1.87272e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 1, iter: 385, t: 1122.64, relres: 9.22795e-11, relerr: 1.86995e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 2, iter: 442, t: 1291.16, relres: 9.43659e-11, relerr: 1.91188e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 3, iter: 3, t: 7.35173, relres: 2.59341e+06, relerr: 94.0192
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 1, iter: 834, t: 2432.1, relres: 9.55656e-11, relerr: 1.9378e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 2, iter: 637, t: 1865.99, relres: 9.74934e-11, relerr: 1.97654e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 3, iter: 547, t: 1595.14, relres: 9.48248e-11, relerr: 1.92185e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 1, iter: 3, t: 7.68476, relres: 1.54398e+08, relerr: 725.111
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 2, iter: 764, t: 2222.46, relres: 9.5149e-11, relerr: 1.92909e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 3, iter: 3, t: 7.34541, relres: 1.72738e+13, relerr: 242463
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 1, iter: 515, t: 1503.51, relres: 9.61576e-11, relerr: 1.94951e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 2, iter: 363, t: 1057.1, relres: 9.37093e-11, relerr: 1.9004e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 3, iter: 450, t: 1314.35, relres: 9.533e-11, relerr: 1.93354e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 1, iter: 494, t: 1440.39, relres: 9.77628e-11, relerr: 1.98185e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 2, iter: 338, t: 985.978, relres: 9.03417e-11, relerr: 1.83127e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 3, iter: 2, t: 4.48448, relres: 823847, relerr: 52.931
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 1, iter: 323, t: 943.16, relres: 9.77561e-11, relerr: 1.98149e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 2, iter: 378, t: 1107, relres: 9.4368e-11, relerr: 1.91333e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 3, iter: 379, t: 1111.41, relres: 9.0559e-11, relerr: 1.83613e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 1, iter: 385, t: 1126.7, relres: 9.4967e-11, relerr: 1.9255e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 2, iter: 382, t: 1113.89, relres: 9.67742e-11, relerr: 1.96221e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 24883200, mode: 3, iter: 404, t: 1183.01, relres: 9.77791e-11, relerr: 1.98278e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 1, iter: 2, t: 1.50171, relres: 9.99617e+08, relerr: 1400.88
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 2, iter: 2, t: 1.49141, relres: 1.03438e+09, relerr: 1424.11
