Wirtinger -> cdp2d, eig_init, n1: 128, n2: 128, m: 65536, iter: 3, t: 0.0205, relres: 1.94607e+10, relerr: 20894.9
Wirtinger -> cdp2d, eig_init, n1: 128, n2: 128, m: 65536, iter: 3, t: 0.014945, relres: 5.68941e+08, relerr: 3526.69
Wirtinger -> cdp2d, eig_init, n1: 128, n2: 128, m: 65536, iter: 3, t: 0.019558, relres: 1.31248e+10, relerr: 16932.1
Wirtinger -> cdp2d, eig_init, n1: 128, n2: 128, m: 65536, iter: 3, t: 0.014151, relres: 4.65333e+09, relerr: 10127.5
Wirtinger -> cdp2d, eig_init, n1: 128, n2: 128, m: 65536, iter: 3, t: 0.014147, relres: 3.12479e+08, relerr: 2601.7
Wirtinger -> cdp2d, eig_init, n1: 128, n2: 128, m: 65536, iter: 3, t: 0.014127, relres: 2.00131e+10, relerr: 21479
Wirtinger -> cdp2d, eig_init, n1: 128, n2: 128, m: 65536, iter: 4, t: 0.020053, relres: 7.40293e+11, relerr: 144146
Wirtinger -> cdp2d, eig_init, n1: 128, n2: 128, m: 65536, iter: 3, t: 0.014861, relres: 4.00847e+09, relerr: 9539.95
Wirtinger -> cdp2d, eig_init, n1: 128, n2: 128, m: 65536, iter: 3, t: 0.014317, relres: 6.71339e+07, relerr: 1230.44
Wirtinger -> cdp2d, eig_init, n1: 128, n2: 128, m: 65536, iter: 3, t: 0.015164, relres: 4.32017e+06, relerr: 331.176
Wirtinger -> cdp2d, eig_init, n1: 128, n2: 128, m: 131072, iter: 701, t: 8.12304, relres: 9.99088e-11, relerr: 4.43726e-11
Wirtinger -> cdp2d, eig_init, n1: 128, n2: 128, m: 131072, iter: 2500, t: 27.2854, relres: 0.0963459, relerr: 0.0373146
Wirtinger -> cdp2d, eig_init, n1: 128, n2: 128, m: 131072, iter: 2500, t: 28.3816, relres: 0.12563, relerr: 0.0694655
Wirtinger -> cdp2d, eig_init, n1: 128, n2: 128, m: 131072, iter: 2500, t: 28.6556, relres: 0.120986, relerr: 0.0664385
Wirtinger -> cdp2d, eig_init, n1: 128, n2: 128, m: 131072, iter: 4, t: 0.039673, relres: 4.00926e+12, relerr: 347790
Wirtinger -> cdp2d, eig_init, n1: 128, n2: 128, m: 131072, iter: 2500, t: 28.4066, relres: 0.124943, relerr: 0.0692176
Wirtinger -> cdp2d, eig_init, n1: 128, n2: 128, m: 131072, iter: 386, t: 4.38652, relres: 9.72583e-11, relerr: 2.39211e-10
Wirtinger -> cdp2d, eig_init, n1: 128, n2: 128, m: 131072, iter: 2500, t: 28.6463, relres: 0.118489, relerr: 0.0645899
Wirtinger -> cdp2d, eig_init, n1: 128, n2: 128, m: 131072, iter: 2085, t: 24.7074, relres: 9.97078e-11, relerr: 4.42495e-11
Wirtinger -> cdp2d, eig_init, n1: 128, n2: 128, m: 131072, iter: 2500, t: 27.3555, relres: 0.0511675, relerr: 0.0210578
Wirtinger -> cdp2d, eig_init, n1: 128, n2: 128, m: 196608, iter: 275, t: 5.0165, relres: 9.94867e-11, relerr: 2.02302e-10
Wirtinger -> cdp2d, eig_init, n1: 128, n2: 128, m: 196608, iter: 271, t: 4.53956, relres: 9.54105e-11, relerr: 1.94471e-10
Wirtinger -> cdp2d, eig_init, n1: 128, n2: 128, m: 196608, iter: 276, t: 4.53848, relres: 9.66321e-11, relerr: 1.95324e-10
Wirtinger -> cdp2d, eig_init, n1: 128, n2: 128, m: 196608, iter: 270, t: 4.54752, relres: 9.65771e-11, relerr: 1.95889e-10
Wirtinger -> cdp2d, eig_init, n1: 128, n2: 128, m: 196608, iter: 271, t: 4.77594, relres: 9.97027e-11, relerr: 2.02115e-10
Wirtinger -> cdp2d, eig_init, n1: 128, n2: 128, m: 196608, iter: 270, t: 4.69396, relres: 9.40772e-11, relerr: 1.91002e-10
Wirtinger -> cdp2d, eig_init, n1: 128, n2: 128, m: 196608, iter: 340, t: 5.67912, relres: 9.39087e-11, relerr: 1.89329e-10
Wirtinger -> cdp2d, eig_init, n1: 128, n2: 128, m: 196608, iter: 280, t: 4.88639, relres: 9.65564e-11, relerr: 1.94944e-10
Wirtinger -> cdp2d, eig_init, n1: 128, n2: 128, m: 196608, iter: 269, t: 4.74906, relres: 9.93503e-11, relerr: 2.02494e-10
