GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.001, iter: 2500, t: 242.236, relres: 0.00131425, relerr: 0.00122092
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.001, iter: 2500, t: 245.238, relres: 0.00132139, relerr: 0.00123133
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.001, iter: 2500, t: 219.74, relres: 0.00131487, relerr: 0.00122176
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.001, iter: 2500, t: 214.678, relres: 0.00131727, relerr: 0.00122295
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.001, iter: 2500, t: 218.417, relres: 0.00132204, relerr: 0.00123355
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.001, iter: 2500, t: 217.426, relres: 0.00132072, relerr: 0.00122849
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.001, iter: 2500, t: 219.534, relres: 0.0013172, relerr: 0.00122551
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.001, iter: 2500, t: 224.684, relres: 0.00132382, relerr: 0.00123806
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.001, iter: 2500, t: 223.673, relres: 0.00132202, relerr: 0.00123395
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.001, iter: 2500, t: 227.32, relres: 0.00131962, relerr: 0.00122689
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0005, iter: 2500, t: 229.812, relres: 0.000675849, relerr: 0.000638904
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0005, iter: 2500, t: 235.288, relres: 0.000678185, relerr: 0.000641914
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0005, iter: 2500, t: 223.249, relres: 0.000679819, relerr: 0.00064537
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0005, iter: 2500, t: 228.944, relres: 0.000674329, relerr: 0.000638165
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0005, iter: 2500, t: 228.124, relres: 0.000673758, relerr: 0.000634802
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0005, iter: 2500, t: 239.353, relres: 0.000675413, relerr: 0.000638437
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0005, iter: 2500, t: 233.426, relres: 0.000679008, relerr: 0.000643312
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0005, iter: 2500, t: 253.548, relres: 0.000673378, relerr: 0.000635498
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0005, iter: 2500, t: 240.474, relres: 0.000677373, relerr: 0.000640776
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0005, iter: 2500, t: 225.887, relres: 0.000681469, relerr: 0.000647447
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0001, iter: 2500, t: 227.482, relres: 0.00014389, relerr: 0.000140854
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0001, iter: 2500, t: 224.705, relres: 0.000143296, relerr: 0.000140228
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0001, iter: 2500, t: 214.835, relres: 0.000142836, relerr: 0.000139119
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0001, iter: 2500, t: 216.541, relres: 0.000140659, relerr: 0.000136124
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0001, iter: 2500, t: 214.743, relres: 0.000143, relerr: 0.000139735
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0001, iter: 2500, t: 225.106, relres: 0.000144422, relerr: 0.000142082
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0001, iter: 2500, t: 224.433, relres: 0.00014552, relerr: 0.000143375
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0001, iter: 2500, t: 222.809, relres: 0.000144341, relerr: 0.000141691
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0001, iter: 2500, t: 217.705, relres: 0.000143427, relerr: 0.000140412
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0001, iter: 2500, t: 217.936, relres: 0.000144668, relerr: 0.000141616
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 5e-05, iter: 2500, t: 220.293, relres: 7.23724e-05, relerr: 7.10579e-05
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 5e-05, iter: 2500, t: 218.141, relres: 7.6169e-05, relerr: 7.65405e-05
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 5e-05, iter: 2500, t: 223.714, relres: 7.30736e-05, relerr: 7.18795e-05
GerSax -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 5e-05, iter: 2500, t: 215.961, relres: 7.25844e-05, relerr: 7.15288e-05
