GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 2500, t: 0.932974, relres: 0.102541, relerr: 0.117889
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 36, t: 0.016092, relres: 0.0997135, relerr: 0.10625
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 2500, t: 0.748713, relres: 0.102435, relerr: 0.13184
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 2500, t: 0.760497, relres: 0.105861, relerr: 0.121363
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 2500, t: 0.763369, relres: 0.102902, relerr: 0.121952
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 2500, t: 0.750793, relres: 0.102392, relerr: 0.121347
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 2500, t: 0.758193, relres: 0.10394, relerr: 0.119574
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 43, t: 0.013385, relres: 0.0999725, relerr: 0.118156
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 2500, t: 0.756662, relres: 0.104351, relerr: 0.118702
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 27, t: 0.008466, relres: 0.0999896, relerr: 0.126295
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 2500, t: 0.756586, relres: 0.0562607, relerr: 0.0700095
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 2500, t: 0.750775, relres: 0.0543292, relerr: 0.0650607
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 2500, t: 0.75826, relres: 0.0545605, relerr: 0.0658565
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 2500, t: 0.753905, relres: 0.05366, relerr: 0.0684128
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 2500, t: 0.754692, relres: 0.0547298, relerr: 0.0653951
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 2500, t: 0.755323, relres: 0.0542566, relerr: 0.0672933
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 2500, t: 0.753073, relres: 0.0538541, relerr: 0.070301
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 2500, t: 0.753271, relres: 0.0558748, relerr: 0.0669021
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 2500, t: 0.757332, relres: 0.0532346, relerr: 0.0663817
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 2500, t: 0.755743, relres: 0.0549945, relerr: 0.0646002
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 2500, t: 0.763582, relres: 0.0119247, relerr: 0.0144128
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 2500, t: 0.755085, relres: 0.0124801, relerr: 0.0162535
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 2500, t: 0.75863, relres: 0.0127496, relerr: 0.0160448
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 2500, t: 0.758653, relres: 0.0126914, relerr: 0.0167672
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 2500, t: 0.754705, relres: 0.0126276, relerr: 0.0152225
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 2500, t: 0.758422, relres: 0.0118045, relerr: 0.0145203
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 2500, t: 0.756938, relres: 0.0129194, relerr: 0.0163168
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 2500, t: 0.867997, relres: 0.0119473, relerr: 0.017049
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 2500, t: 0.784449, relres: 0.0118059, relerr: 0.0153771
GerSax -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 2500, t: 0.812512, relres: 0.0122857, relerr: 0.015963
