GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 2500, t: 9.29731, relres: 0.10345, relerr: 0.11923
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 2500, t: 9.16722, relres: 0.106131, relerr: 0.124629
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 2500, t: 9.20329, relres: 0.101401, relerr: 0.116164
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 2500, t: 9.03094, relres: 0.101526, relerr: 0.124038
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 46, t: 0.273495, relres: 0.0999939, relerr: 0.118854
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 2500, t: 9.03995, relres: 0.103576, relerr: 0.115197
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 2500, t: 12.8092, relres: 0.100607, relerr: 0.123406
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 2500, t: 9.05795, relres: 0.102762, relerr: 0.127558
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 2500, t: 9.01155, relres: 0.104036, relerr: 0.136741
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 38, t: 0.366098, relres: 0.0999479, relerr: 0.118784
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 2500, t: 8.98623, relres: 0.0541549, relerr: 0.0724589
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 2500, t: 8.78068, relres: 0.0538065, relerr: 0.0663679
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 2500, t: 8.73996, relres: 0.0575564, relerr: 0.0660779
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 2500, t: 9.04292, relres: 0.0557268, relerr: 0.0705593
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 2500, t: 8.94067, relres: 0.0584711, relerr: 0.0690983
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 2500, t: 8.79568, relres: 0.054139, relerr: 0.0635364
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 2500, t: 8.86929, relres: 0.0540659, relerr: 0.0653271
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 2500, t: 8.88095, relres: 0.0556636, relerr: 0.0690127
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 2500, t: 8.89372, relres: 0.0546021, relerr: 0.0667945
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 2500, t: 12.2006, relres: 0.053456, relerr: 0.0647275
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 2500, t: 9.00502, relres: 0.0127166, relerr: 0.015861
