GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 2500, t: 2.28931, relres: 0.105135, relerr: 0.0851198
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 2500, t: 2.36082, relres: 0.108731, relerr: 0.0850298
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 2500, t: 2.99132, relres: 0.109573, relerr: 0.0899597
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 2500, t: 3.62019, relres: 0.111155, relerr: 0.099346
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 2500, t: 3.19889, relres: 0.107538, relerr: 0.0806555
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 2500, t: 3.17464, relres: 0.10841, relerr: 0.0875624
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 2500, t: 2.57951, relres: 0.111497, relerr: 0.0941831
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 2500, t: 0.536997, relres: 0.111667, relerr: 0.100059
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 2500, t: 2.28654, relres: 0.111186, relerr: 0.0967345
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 2500, t: 2.29799, relres: 0.104848, relerr: 0.0912917
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 2500, t: 2.29775, relres: 0.061916, relerr: 0.0509496
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 2500, t: 2.28741, relres: 0.0657658, relerr: 0.0562875
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 2500, t: 2.20452, relres: 0.0618394, relerr: 0.0539431
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 2500, t: 2.29384, relres: 0.0609408, relerr: 0.0484369
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 2500, t: 2.21494, relres: 0.0609964, relerr: 0.053892
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 2500, t: 2.29283, relres: 0.0606258, relerr: 0.054633
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 2500, t: 2.30955, relres: 0.0610373, relerr: 0.0497915
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 2500, t: 2.25341, relres: 0.0582452, relerr: 0.0499128
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 2500, t: 2.29562, relres: 0.0650137, relerr: 0.0559342
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 2500, t: 2.26811, relres: 0.0624471, relerr: 0.0522829
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 2500, t: 2.26525, relres: 0.0157638, relerr: 0.0152679
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 2500, t: 2.28165, relres: 0.015809, relerr: 0.0153016
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 2500, t: 2.26923, relres: 0.0151535, relerr: 0.013368
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 2500, t: 2.26799, relres: 0.0158326, relerr: 0.0140998
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 2500, t: 2.2868, relres: 0.015737, relerr: 0.0149388
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 2500, t: 2.25304, relres: 0.0168678, relerr: 0.0154841
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 2500, t: 2.30512, relres: 0.0148473, relerr: 0.0145165
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 2500, t: 2.30007, relres: 0.0156122, relerr: 0.0141356
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 2500, t: 2.4977, relres: 0.0152151, relerr: 0.0132883
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 2500, t: 2.23171, relres: 0.0151106, relerr: 0.0136392
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 2500, t: 2.28203, relres: 0.00904302, relerr: 0.00872546
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 2500, t: 2.30269, relres: 0.00926534, relerr: 0.00922879
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 2500, t: 2.21171, relres: 0.0086321, relerr: 0.00901873
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 2500, t: 2.26642, relres: 0.00993103, relerr: 0.00902124
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 2500, t: 2.29799, relres: 0.00883844, relerr: 0.00848528
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 2500, t: 2.25421, relres: 0.00830361, relerr: 0.0073534
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 2500, t: 2.30853, relres: 0.0102192, relerr: 0.00957325
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 2500, t: 2.25906, relres: 0.00975327, relerr: 0.00861643
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 2500, t: 2.60115, relres: 0.0083694, relerr: 0.00749078
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 2500, t: 2.85517, relres: 0.00894695, relerr: 0.00814064
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 2500, t: 2.78215, relres: 0.00243964, relerr: 0.00256998
