Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.001, iter: 500, t: 55.3969, relres: 0.00412801, relerr: 0.00428286
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.001, iter: 500, t: 48.3169, relres: 0.00421468, relerr: 0.00437609
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.001, iter: 500, t: 45.6689, relres: 0.00417209, relerr: 0.00434044
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.001, iter: 500, t: 48.3773, relres: 0.00411361, relerr: 0.00426137
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.001, iter: 500, t: 45.5123, relres: 0.00416373, relerr: 0.00432168
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.001, iter: 500, t: 47.2007, relres: 0.00418394, relerr: 0.0043371
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.001, iter: 500, t: 47.2018, relres: 0.00430293, relerr: 0.00445558
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.001, iter: 500, t: 46.5949, relres: 0.00427724, relerr: 0.00443648
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.001, iter: 500, t: 46.7325, relres: 0.00427759, relerr: 0.00443325
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.001, iter: 500, t: 50.6411, relres: 0.00410786, relerr: 0.00425581
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0005, iter: 500, t: 49.5154, relres: 0.00222348, relerr: 0.00231162
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0005, iter: 500, t: 46.2674, relres: 0.00218704, relerr: 0.00227183
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0005, iter: 500, t: 45.2687, relres: 0.00222899, relerr: 0.00231207
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0005, iter: 500, t: 50.2195, relres: 0.00217983, relerr: 0.00226459
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0005, iter: 500, t: 48.1729, relres: 0.00212881, relerr: 0.00221297
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0005, iter: 500, t: 47.3032, relres: 0.00219834, relerr: 0.00229324
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0005, iter: 500, t: 48.6518, relres: 0.00218337, relerr: 0.00226647
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0005, iter: 500, t: 52.1942, relres: 0.00217078, relerr: 0.00225401
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0005, iter: 500, t: 47.616, relres: 0.00216291, relerr: 0.00224556
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0005, iter: 500, t: 48.096, relres: 0.00222406, relerr: 0.00231127
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0001, iter: 500, t: 45.0061, relres: 0.000480816, relerr: 0.000501406
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0001, iter: 500, t: 45.7462, relres: 0.000487, relerr: 0.000507586
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0001, iter: 500, t: 46.3864, relres: 0.000478549, relerr: 0.000499287
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0001, iter: 500, t: 46.3273, relres: 0.000453508, relerr: 0.000472892
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0001, iter: 500, t: 45.518, relres: 0.000469449, relerr: 0.000490218
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0001, iter: 500, t: 45.7045, relres: 0.000481139, relerr: 0.000503445
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0001, iter: 500, t: 45.0565, relres: 0.000476854, relerr: 0.000498286
