Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 0.358968, relres: 0.2684, relerr: 0.305865
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 0.300828, relres: 0.24618, relerr: 0.281973
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 0.298543, relres: 0.250984, relerr: 0.280202
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 0.359398, relres: 0.351008, relerr: 0.3747
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 0.298808, relres: 0.23495, relerr: 0.271607
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 0.312716, relres: 0.295509, relerr: 0.348526
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 0.299253, relres: 0.286499, relerr: 0.293721
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 0.300387, relres: 0.281017, relerr: 0.297127
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 0.345063, relres: 0.28046, relerr: 0.305799
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 0.311236, relres: 0.32423, relerr: 0.40572
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 0.297165, relres: 0.15064, relerr: 0.16736
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 0.296987, relres: 0.146726, relerr: 0.159465
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 0.300522, relres: 0.172268, relerr: 0.196726
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 0.297817, relres: 0.138497, relerr: 0.163605
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 0.312812, relres: 0.146957, relerr: 0.165887
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 0.29741, relres: 0.143025, relerr: 0.175489
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 0.298954, relres: 0.13523, relerr: 0.148431
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 0.297133, relres: 0.139855, relerr: 0.1461
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 0.299169, relres: 0.144831, relerr: 0.163238
