Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 75.4967, relres: 0.200761, relerr: 0.231222
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 76.7286, relres: 0.229091, relerr: 0.257114
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 75.6992, relres: 0.205411, relerr: 0.226695
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 76.4402, relres: 0.212621, relerr: 0.229974
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 75.7556, relres: 0.209731, relerr: 0.24615
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 77.0067, relres: 0.214918, relerr: 0.22829
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 85.0363, relres: 0.201696, relerr: 0.239166
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 75.8323, relres: 0.221826, relerr: 0.263905
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 89.335, relres: 0.231513, relerr: 0.273936
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 74.8644, relres: 0.202897, relerr: 0.230922
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 73.7431, relres: 0.11365, relerr: 0.131067
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 74.115, relres: 0.115839, relerr: 0.126307
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 73.9809, relres: 0.110943, relerr: 0.12272
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 74.5044, relres: 0.114036, relerr: 0.126887
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 75.9311, relres: 0.118095, relerr: 0.133727
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 75.2732, relres: 0.119225, relerr: 0.128861
