Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 39.2896, relres: 0.244086, relerr: 0.209837
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 54.4911, relres: 0.243046, relerr: 0.20944
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 43.4598, relres: 0.2076, relerr: 0.178887
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 40.043, relres: 0.23004, relerr: 0.213854
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 39.0218, relres: 0.236304, relerr: 0.208996
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 36.3977, relres: 0.214773, relerr: 0.187431
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 36.4648, relres: 0.272997, relerr: 0.245481
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 35.9335, relres: 0.2526, relerr: 0.22259
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 38.1535, relres: 0.256522, relerr: 0.222218
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 34.7743, relres: 0.229817, relerr: 0.214687
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 34.7719, relres: 0.153556, relerr: 0.144664
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 34.7847, relres: 0.140966, relerr: 0.133936
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 35.0479, relres: 0.147174, relerr: 0.127256
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 34.8868, relres: 0.122835, relerr: 0.110718
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 34.8563, relres: 0.144343, relerr: 0.124525
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 34.7388, relres: 0.122954, relerr: 0.116946
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 34.8834, relres: 0.134595, relerr: 0.113097
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 35.1045, relres: 0.136186, relerr: 0.122775
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 34.8956, relres: 0.145024, relerr: 0.123236
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 34.8364, relres: 0.14861, relerr: 0.135341
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 500, t: 34.7898, relres: 0.0456688, relerr: 0.0416084
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 500, t: 35.1284, relres: 0.0437287, relerr: 0.041435
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 500, t: 35.3978, relres: 0.0339701, relerr: 0.0305758
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 500, t: 34.8334, relres: 0.035282, relerr: 0.0308153
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 500, t: 34.8297, relres: 0.0405048, relerr: 0.0405565
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 500, t: 34.7074, relres: 0.0396564, relerr: 0.0376417
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 500, t: 34.7928, relres: 0.0374123, relerr: 0.0341832
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 500, t: 36.0262, relres: 0.0406421, relerr: 0.0347146
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 500, t: 34.957, relres: 0.0432362, relerr: 0.0368677
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 500, t: 34.7386, relres: 0.041604, relerr: 0.0372984
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 500, t: 34.8038, relres: 0.0251797, relerr: 0.0238226
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 500, t: 34.9559, relres: 0.0190078, relerr: 0.0170269
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 500, t: 34.7599, relres: 0.0258353, relerr: 0.0246691
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 500, t: 34.8498, relres: 0.0260904, relerr: 0.0248416
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 500, t: 34.9703, relres: 0.0207912, relerr: 0.0183535
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 500, t: 34.9418, relres: 0.0247625, relerr: 0.02166
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 500, t: 34.7121, relres: 0.0263377, relerr: 0.0234605
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 500, t: 37.558, relres: 0.0281492, relerr: 0.0249852
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 500, t: 39.4563, relres: 0.0228181, relerr: 0.0202835
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 500, t: 39.4331, relres: 0.02452, relerr: 0.021886
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 39.3536, relres: 0.00699168, relerr: 0.00610572
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 39.4445, relres: 0.00650725, relerr: 0.00601344
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 38.8483, relres: 0.00821087, relerr: 0.00762844
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 39.8586, relres: 0.00598387, relerr: 0.00576986
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 36.641, relres: 0.00567584, relerr: 0.00496002
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 36.5382, relres: 0.00690004, relerr: 0.00589906
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 36.2575, relres: 0.00727454, relerr: 0.0062106
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 35.8178, relres: 0.00810539, relerr: 0.00776994
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 35.061, relres: 0.00817848, relerr: 0.00671025
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 35.3541, relres: 0.00792253, relerr: 0.00727079
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 35.4179, relres: 0.00368985, relerr: 0.00356275
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 36.1699, relres: 0.00390543, relerr: 0.00338052
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 34.1498, relres: 0.00326268, relerr: 0.00298633
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 34.3221, relres: 0.00400766, relerr: 0.00352016
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 34.1694, relres: 0.00443005, relerr: 0.00416029
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 34.3008, relres: 0.00334752, relerr: 0.00285317
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 34.0809, relres: 0.00419317, relerr: 0.00336012
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 34.9148, relres: 0.00363972, relerr: 0.00339129
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 34.2702, relres: 0.00409145, relerr: 0.00368707
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 34.2077, relres: 0.00426945, relerr: 0.00379993
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 34.1501, relres: 0.00104458, relerr: 0.000956758
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 34.2854, relres: 0.00086694, relerr: 0.000754605
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 34.1803, relres: 0.00152337, relerr: 0.00144195
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 34.2628, relres: 0.00141791, relerr: 0.00127308
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 34.5283, relres: 0.00161437, relerr: 0.00164
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 34.526, relres: 0.00159818, relerr: 0.00155116
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 34.5095, relres: 0.00155892, relerr: 0.00139633
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 34.3397, relres: 0.00114578, relerr: 0.0010992
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 34.3865, relres: 0.00132746, relerr: 0.00118651
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 34.2796, relres: 0.00181225, relerr: 0.00169717
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 34.1611, relres: 0.000537922, relerr: 0.0004936
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 37.0098, relres: 0.00060163, relerr: 0.000527156
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 42.5518, relres: 0.000694418, relerr: 0.000598784
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 38.7861, relres: 0.000530371, relerr: 0.00049397
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 48.0088, relres: 0.000613282, relerr: 0.000549505
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 48.7509, relres: 0.000808504, relerr: 0.000733263
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 43.3993, relres: 0.00115474, relerr: 0.00101516
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 42.5934, relres: 0.00076021, relerr: 0.000742526
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 42.0054, relres: 0.000514762, relerr: 0.000502239
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 43.3245, relres: 0.000686468, relerr: 0.00063247
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 41.7312, relres: 0.000326487, relerr: 0.000303746
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 43.1652, relres: 0.000131369, relerr: 0.000115708
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 43.1252, relres: 0.000161533, relerr: 0.000150514
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 42.5137, relres: 0.000193977, relerr: 0.000172837
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 43.0493, relres: 0.000163887, relerr: 0.000146111
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 42.6821, relres: 0.000160572, relerr: 0.000164462
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 41.7482, relres: 0.000297598, relerr: 0.000295637
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 35.4309, relres: 0.000194387, relerr: 0.000180844
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 34.9831, relres: 0.000208965, relerr: 0.000183431
Block Kaczmarz-64 -> guassian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 35.1201, relres: 0.000112527, relerr: 0.000105132
