Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 30.519, relres: 0.175045, relerr: 0.190921
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 37.2884, relres: 0.161257, relerr: 0.17063
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 36.3439, relres: 0.168062, relerr: 0.185473
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 37.1994, relres: 0.164426, relerr: 0.171833
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 36.0826, relres: 0.174004, relerr: 0.184682
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 36.0427, relres: 0.171305, relerr: 0.183294
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 35.8001, relres: 0.177694, relerr: 0.182634
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 32.3687, relres: 0.179087, relerr: 0.182671
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 30.4165, relres: 0.178088, relerr: 0.177691
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 30.0693, relres: 0.171196, relerr: 0.19692
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 30.2262, relres: 0.0995231, relerr: 0.107858
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 29.9471, relres: 0.0949694, relerr: 0.0969257
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 30.1841, relres: 0.0956199, relerr: 0.101743
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 30.1605, relres: 0.0965623, relerr: 0.104578
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 30.2496, relres: 0.0954475, relerr: 0.104194
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 30.2145, relres: 0.0970777, relerr: 0.106498
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 30.3239, relres: 0.089495, relerr: 0.101089
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 30.0949, relres: 0.0954941, relerr: 0.104027
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 30.004, relres: 0.08593, relerr: 0.0983913
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 30.2335, relres: 0.093557, relerr: 0.0988632
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.01, iter: 500, t: 30.2191, relres: 0.0193902, relerr: 0.0209275
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.01, iter: 500, t: 30.4175, relres: 0.0246014, relerr: 0.0264002
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.01, iter: 500, t: 30.1748, relres: 0.0218671, relerr: 0.0238558
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.01, iter: 500, t: 30.4941, relres: 0.0203717, relerr: 0.0224478
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.01, iter: 500, t: 30.1311, relres: 0.0235271, relerr: 0.0255055
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.01, iter: 500, t: 30.1466, relres: 0.0196915, relerr: 0.0210582
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.01, iter: 500, t: 30.3103, relres: 0.0224156, relerr: 0.0252297
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.01, iter: 500, t: 31.3592, relres: 0.0226007, relerr: 0.0255778
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.01, iter: 500, t: 31.173, relres: 0.0194689, relerr: 0.0216934
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.01, iter: 500, t: 33.0863, relres: 0.020264, relerr: 0.0227551
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.005, iter: 500, t: 31.0539, relres: 0.0107255, relerr: 0.0115575
