Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 31.3658, relres: 0.1646, relerr: 0.185776
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 31.3758, relres: 0.168722, relerr: 0.187893
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 35.5071, relres: 0.176261, relerr: 0.182542
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 31.1178, relres: 0.179188, relerr: 0.185192
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 35.0455, relres: 0.166657, relerr: 0.175825
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 31.8158, relres: 0.166558, relerr: 0.170531
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 42.4537, relres: 0.161877, relerr: 0.184293
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 31.9844, relres: 0.167062, relerr: 0.184976
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 32.2918, relres: 0.167121, relerr: 0.193933
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 31.0161, relres: 0.163967, relerr: 0.17164
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 34.3088, relres: 0.0933868, relerr: 0.107559
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 30.3525, relres: 0.0928657, relerr: 0.0981212
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 34.2028, relres: 0.0934782, relerr: 0.0945395
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 31.1577, relres: 0.0895303, relerr: 0.0984387
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 34.606, relres: 0.0957571, relerr: 0.104168
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 30.7681, relres: 0.0953838, relerr: 0.102161
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 34.0216, relres: 0.095002, relerr: 0.104354
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 30.5348, relres: 0.0929497, relerr: 0.102671
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 36.1414, relres: 0.0869823, relerr: 0.0971226
