Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 21.8585, relres: 0.200089, relerr: 0.170514
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 23.6263, relres: 0.203846, relerr: 0.17549
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 23.336, relres: 0.191463, relerr: 0.161769
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 31.1078, relres: 0.198561, relerr: 0.184457
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 22.4945, relres: 0.195301, relerr: 0.183888
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 23.3634, relres: 0.202033, relerr: 0.17588
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 22.3732, relres: 0.224432, relerr: 0.202623
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 24.2033, relres: 0.205198, relerr: 0.18345
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 21.9019, relres: 0.222687, relerr: 0.193829
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 500, t: 22.1125, relres: 0.202554, relerr: 0.186296
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 21.086, relres: 0.131542, relerr: 0.116366
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 21.0991, relres: 0.147596, relerr: 0.125801
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 21.2701, relres: 0.116342, relerr: 0.0980196
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 21.1009, relres: 0.11385, relerr: 0.101706
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 21.1378, relres: 0.126179, relerr: 0.109915
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 500, t: 20.9371, relres: 0.113261, relerr: 0.10106
