Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.001, iter: 165, t: 14.542, relres: 0.000987336, relerr: 0.000880584
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.001, iter: 124, t: 11.3634, relres: 0.000998969, relerr: 0.000920519
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.001, iter: 137, t: 11.0959, relres: 0.000998072, relerr: 0.000920324
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.001, iter: 148, t: 11.672, relres: 0.0009919, relerr: 0.000894073
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.001, iter: 128, t: 11.8008, relres: 0.000991664, relerr: 0.000898014
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.001, iter: 2500, t: 328.127, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.001, iter: 138, t: 11.7155, relres: 0.000993857, relerr: 0.000905041
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.001, iter: 129, t: 10.6726, relres: 0.000999112, relerr: 0.000925991
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.001, iter: 186, t: 14.7093, relres: 0.000989652, relerr: 0.000892694
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.001, iter: 149, t: 12.1518, relres: 0.000992486, relerr: 0.000899617
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0005, iter: 148, t: 13.6125, relres: 0.000497673, relerr: 0.000454824
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0005, iter: 161, t: 13.4776, relres: 0.000492822, relerr: 0.000439391
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0005, iter: 137, t: 11.0819, relres: 0.000499031, relerr: 0.000461421
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0005, iter: 146, t: 11.5195, relres: 0.000494297, relerr: 0.00044262
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0005, iter: 196, t: 16.1278, relres: 0.00049722, relerr: 0.000456923
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0005, iter: 141, t: 11.6077, relres: 0.000495514, relerr: 0.000448588
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0005, iter: 2500, t: 326.108, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0005, iter: 184, t: 15.292, relres: 0.000498286, relerr: 0.000458626
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0005, iter: 2500, t: 346.868, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0005, iter: 148, t: 12.3156, relres: 0.00049338, relerr: 0.000437738
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0001, iter: 223, t: 18.7281, relres: 9.95214e-05, relerr: 9.22964e-05
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0001, iter: 165, t: 14.465, relres: 9.90369e-05, relerr: 8.97184e-05
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0001, iter: 163, t: 14.0355, relres: 9.98412e-05, relerr: 9.33418e-05
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0001, iter: 152, t: 12.562, relres: 9.98592e-05, relerr: 9.33848e-05
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0001, iter: 198, t: 15.9677, relres: 9.99593e-05, relerr: 9.40495e-05
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0001, iter: 149, t: 12.1509, relres: 9.88373e-05, relerr: 8.88997e-05
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0001, iter: 236, t: 18.6656, relres: 9.8562e-05, relerr: 8.79144e-05
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0001, iter: 150, t: 12.4228, relres: 9.9296e-05, relerr: 9.065e-05
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0001, iter: 155, t: 13.5262, relres: 9.92296e-05, relerr: 9.03051e-05
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.0001, iter: 172, t: 14.8567, relres: 9.98473e-05, relerr: 9.34241e-05
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 5e-05, iter: 172, t: 14.6021, relres: 4.93164e-05, relerr: 4.42643e-05
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 5e-05, iter: 2500, t: 322.06, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 5e-05, iter: 164, t: 13.2461, relres: 4.94664e-05, relerr: 4.4583e-05
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 5e-05, iter: 164, t: 13.4696, relres: 4.96574e-05, relerr: 4.55218e-05
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 5e-05, iter: 177, t: 14.4395, relres: 4.92067e-05, relerr: 4.37144e-05
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 5e-05, iter: 164, t: 13.6588, relres: 4.94454e-05, relerr: 4.46787e-05
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 5e-05, iter: 163, t: 13.0827, relres: 4.98095e-05, relerr: 4.60892e-05
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 5e-05, iter: 158, t: 12.7205, relres: 4.96174e-05, relerr: 4.52391e-05
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 5e-05, iter: 157, t: 12.7937, relres: 4.96551e-05, relerr: 4.53007e-05
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 5e-05, iter: 164, t: 13.361, relres: 4.93045e-05, relerr: 4.41849e-05
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 181, t: 14.54, relres: 9.99061e-06, relerr: 9.40629e-06
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 246, t: 18.9534, relres: 9.84903e-06, relerr: 8.79438e-06
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 170, t: 13.5068, relres: 9.94456e-06, relerr: 9.22909e-06
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 181, t: 14.0449, relres: 9.98837e-06, relerr: 9.438e-06
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 175, t: 15.623, relres: 9.96669e-06, relerr: 9.34562e-06
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 219, t: 17.4634, relres: 9.89865e-06, relerr: 9.06167e-06
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 498, t: 39.6992, relres: 9.87892e-06, relerr: 8.98675e-06
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 172, t: 13.617, relres: 9.85631e-06, relerr: 8.83438e-06
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 191, t: 14.9859, relres: 9.94589e-06, relerr: 9.24242e-06
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 172, t: 13.6546, relres: 9.8769e-06, relerr: 8.92182e-06
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 77, t: 6.45343, relres: 0.0989684, relerr: 0.091839
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 78, t: 6.94204, relres: 0.0987419, relerr: 0.0913022
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 97, t: 9.45316, relres: 0.0995331, relerr: 0.0945714
