Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 94, t: 0.035636, relres: 0.0995192, relerr: 0.163121
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 92, t: 0.036619, relres: 0.0992642, relerr: 0.153918
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 73, t: 0.022793, relres: 0.0999432, relerr: 0.153463
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 74, t: 0.023461, relres: 0.0994686, relerr: 0.155864
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 80, t: 0.025676, relres: 0.0990561, relerr: 0.148004
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 77, t: 0.024157, relres: 0.0992765, relerr: 0.156003
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 82, t: 0.026207, relres: 0.0988603, relerr: 0.148414
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 96, t: 0.029784, relres: 0.0995774, relerr: 0.154478
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 188, t: 0.059363, relres: 0.0988114, relerr: 0.156875
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 67, t: 0.021321, relres: 0.0995213, relerr: 0.177318
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 89, t: 0.028067, relres: 0.049445, relerr: 0.0806744
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 105, t: 0.03308, relres: 0.0494054, relerr: 0.0792647
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 99, t: 0.030775, relres: 0.0494434, relerr: 0.0815084
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 90, t: 0.028218, relres: 0.0499592, relerr: 0.0909554
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 94, t: 0.028858, relres: 0.0493471, relerr: 0.0789211
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 88, t: 0.027421, relres: 0.0496623, relerr: 0.0905102
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 93, t: 0.028785, relres: 0.0494477, relerr: 0.0818461
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 107, t: 0.033019, relres: 0.0499528, relerr: 0.0777947
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 86, t: 0.026697, relres: 0.049378, relerr: 0.076136
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 97, t: 0.029775, relres: 0.0498564, relerr: 0.0945112
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 145, t: 0.044768, relres: 0.00992801, relerr: 0.0171174
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 169, t: 0.053217, relres: 0.00990879, relerr: 0.0161513
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 144, t: 0.045384, relres: 0.00994256, relerr: 0.016749
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 138, t: 0.043089, relres: 0.00994045, relerr: 0.0173754
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 146, t: 0.045677, relres: 0.00992346, relerr: 0.0179398
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 144, t: 0.045163, relres: 0.00992996, relerr: 0.0166716
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 142, t: 0.044491, relres: 0.0099626, relerr: 0.01793
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 139, t: 0.063499, relres: 0.0099509, relerr: 0.0185121
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 153, t: 0.049477, relres: 0.00991672, relerr: 0.0183404
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.01, iter: 166, t: 0.067067, relres: 0.00993386, relerr: 0.0174518
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 871, t: 0.316116, relres: 0.0049987, relerr: 0.00849763
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 164, t: 0.060727, relres: 0.00498996, relerr: 0.0086457
