Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 75, t: 0.672189, relres: 0.0992694, relerr: 0.165313
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 72, t: 0.725554, relres: 0.0993723, relerr: 0.153157
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 73, t: 0.796129, relres: 0.099338, relerr: 0.161447
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 72, t: 0.750941, relres: 0.0997301, relerr: 0.168164
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 78, t: 0.792851, relres: 0.0999107, relerr: 0.164343
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 79, t: 0.949781, relres: 0.0986188, relerr: 0.162804
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 79, t: 0.839312, relres: 0.0992495, relerr: 0.162146
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 77, t: 0.79689, relres: 0.0990409, relerr: 0.148698
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 71, t: 0.738042, relres: 0.0992473, relerr: 0.166104
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 85, t: 0.860259, relres: 0.0998175, relerr: 0.166195
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 88, t: 0.883075, relres: 0.0497789, relerr: 0.0881023
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 91, t: 0.931975, relres: 0.0493749, relerr: 0.0792562
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 87, t: 0.891722, relres: 0.0497311, relerr: 0.0798274
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 92, t: 0.920765, relres: 0.0495473, relerr: 0.0948106
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 94, t: 0.983012, relres: 0.0494204, relerr: 0.0798405
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 104, t: 1.062, relres: 0.0496913, relerr: 0.0854382
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 96, t: 1.0021, relres: 0.0497634, relerr: 0.0778466
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 90, t: 0.992005, relres: 0.0499106, relerr: 0.0821492
