Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 44, t: 0.117155, relres: 0.0981071, relerr: 0.0976072
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 45, t: 0.19051, relres: 0.0991015, relerr: 0.0983563
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 44, t: 0.175723, relres: 0.0995279, relerr: 0.103693
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 44, t: 0.131496, relres: 0.0998171, relerr: 0.101776
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 43, t: 0.165195, relres: 0.0997838, relerr: 0.0977773
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 45, t: 0.163376, relres: 0.0992612, relerr: 0.100533
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 45, t: 0.157496, relres: 0.0982114, relerr: 0.0971235
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 46, t: 0.155999, relres: 0.097797, relerr: 0.0998993
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 45, t: 0.134325, relres: 0.0982201, relerr: 0.100529
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.1, iter: 42, t: 0.124999, relres: 0.0996092, relerr: 0.10834
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 55, t: 0.166045, relres: 0.0497668, relerr: 0.0531626
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 54, t: 0.16122, relres: 0.0492987, relerr: 0.048491
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 53, t: 0.157928, relres: 0.0496742, relerr: 0.0470642
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 54, t: 0.158601, relres: 0.049545, relerr: 0.0432545
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 55, t: 0.166999, relres: 0.0489473, relerr: 0.0445035
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 54, t: 0.16, relres: 0.0490946, relerr: 0.0529804
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 54, t: 0.160524, relres: 0.0498482, relerr: 0.0443794
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.05, iter: 55, t: 0.168989, relres: 0.0493223, relerr: 0.0489026
