GerSax -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 3.82864, relres: 0.0234909, relerr: 1.30363
GerSax -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 3.35552, relres: 0.0187986, relerr: 1.28883
GerSax -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 3.43865, relres: 0.0165722, relerr: 1.33201
GerSax -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 3.60469, relres: 0.0183389, relerr: 1.35532
GerSax -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 3.87947, relres: 0.0223985, relerr: 1.31376
GerSax -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 3.62495, relres: 0.0272347, relerr: 1.33631
GerSax -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 3.74346, relres: 0.0212931, relerr: 1.29059
GerSax -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 3.73694, relres: 0.0234523, relerr: 1.25475
GerSax -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 3.65757, relres: 0.0256971, relerr: 1.20558
GerSax -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 3.53982, relres: 0.0131928, relerr: 1.30588
GerSax -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 3.75916, relres: 0.0243393, relerr: 1.34511
GerSax -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 3.78809, relres: 0.0292953, relerr: 1.3667
GerSax -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 3.77342, relres: 0.0283114, relerr: 1.29074
GerSax -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 3.63536, relres: 0.0232147, relerr: 1.33625
GerSax -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 3.63909, relres: 0.0185046, relerr: 1.19402
GerSax -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 3.70086, relres: 0.0172906, relerr: 1.30281
GerSax -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 3.87292, relres: 0.0219583, relerr: 1.37942
GerSax -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 3.66941, relres: 0.0129138, relerr: 1.12901
GerSax -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 3.40212, relres: 0.0301549, relerr: 1.27812
GerSax -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 3.61483, relres: 0.0237841, relerr: 1.16061
GerSax -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 3.57586, relres: 0.0276256, relerr: 1.26617
GerSax -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 3.7021, relres: 0.0245644, relerr: 1.15448
GerSax -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 3.06696, relres: 0.0305116, relerr: 1.30041
GerSax -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 3.11301, relres: 0.0306542, relerr: 1.18399
