GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.47855, relres: 0.0234284, relerr: 1.29368
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.59988, relres: 0.032311, relerr: 1.31055
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.36014, relres: 0.0218425, relerr: 1.25835
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.54059, relres: 0.0364043, relerr: 1.34351
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.34556, relres: 0.0209094, relerr: 1.29882
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 4.02694, relres: 0.0253322, relerr: 1.31099
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.15978, relres: 0.0235822, relerr: 1.40657
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.31707, relres: 0.0264052, relerr: 1.33661
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.38946, relres: 0.0284638, relerr: 1.39962
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.73729, relres: 0.0301256, relerr: 1.29074
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.62369, relres: 0.0245371, relerr: 1.26523
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.37887, relres: 0.0389463, relerr: 1.25578
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.45222, relres: 0.0273669, relerr: 1.31631
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.33121, relres: 0.0193762, relerr: 1.37694
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.37372, relres: 0.0417184, relerr: 1.35247
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.40365, relres: 0.0254378, relerr: 1.33447
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.27575, relres: 0.0310287, relerr: 1.35818
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.43499, relres: 0.0329352, relerr: 1.23308
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.32226, relres: 0.0239154, relerr: 1.39344
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.25034, relres: 0.0365421, relerr: 1.36171
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.34855, relres: 0.027325, relerr: 1.39971
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.35841, relres: 0.0241519, relerr: 1.28748
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.39387, relres: 0.0200078, relerr: 1.27541
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.39249, relres: 0.0302918, relerr: 1.34047
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.40695, relres: 0.023529, relerr: 1.37976
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.35526, relres: 0.017683, relerr: 1.25765
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.29178, relres: 0.0255185, relerr: 1.29406
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.26582, relres: 0.0245839, relerr: 1.39522
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.24619, relres: 0.0301545, relerr: 1.20305
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.29288, relres: 0.027797, relerr: 1.25357
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.4572, relres: 0.0223689, relerr: 1.23689
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.4438, relres: 0.0239746, relerr: 1.3169
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.65228, relres: 0.0254968, relerr: 1.35597
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 3.84071, relres: 0.0270822, relerr: 1.25988
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 5.07031, relres: 0.0305863, relerr: 1.24329
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 5.28022, relres: 0.0341799, relerr: 1.38016
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 5.12271, relres: 0.0240635, relerr: 1.32462
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 5.03606, relres: 0.0323253, relerr: 1.32493
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 5.05515, relres: 0.0256996, relerr: 1.3511
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 4.97544, relres: 0.0185462, relerr: 1.32485
GerSax -> unitary, complex, rand_init, n: 256, m: 512, iter: 2500, t: 4.9328, relres: 0.0303363, relerr: 1.29421
