GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.40611, relres: 0.85127, relerr: 1.08599
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.02093, relres: 0.803324, relerr: 0.973185
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.09389, relres: 0.716522, relerr: 0.894252
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.30277, relres: 0.804146, relerr: 1.07296
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.01407, relres: 0.863425, relerr: 1.0377
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.0552, relres: 0.750019, relerr: 1.18147
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.14307, relres: 0.844078, relerr: 1.08193
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.68687, relres: 0.801401, relerr: 1.12653
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.09435, relres: 0.728543, relerr: 1.04035
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.14984, relres: 0.844121, relerr: 1.0188
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.0636, relres: 0.813187, relerr: 0.951412
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.10232, relres: 0.710595, relerr: 1.19277
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.09542, relres: 0.701669, relerr: 1.19126
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.10308, relres: 0.815279, relerr: 1.08647
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.11271, relres: 1.01514, relerr: 1.26557
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.10339, relres: 0.728347, relerr: 0.948794
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.09098, relres: 0.82926, relerr: 1.12083
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.1856, relres: 0.704441, relerr: 1.07002
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 0.982758, relres: 0.849585, relerr: 1.08577
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.01426, relres: 0.880935, relerr: 1.05202
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.06317, relres: 0.66397, relerr: 1.25187
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.08082, relres: 0.819322, relerr: 1.21221
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.11527, relres: 0.79562, relerr: 0.932273
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.09525, relres: 0.797838, relerr: 1.30391
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.11408, relres: 0.945058, relerr: 0.988995
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.20288, relres: 0.847909, relerr: 1.32563
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.04229, relres: 0.704459, relerr: 1.07208
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.20085, relres: 0.681814, relerr: 0.935091
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.13432, relres: 0.885455, relerr: 0.932489
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.30636, relres: 0.783024, relerr: 1.1511
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.22206, relres: 0.809324, relerr: 0.998413
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.09237, relres: 0.666943, relerr: 1.18126
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.08452, relres: 0.924126, relerr: 1.04562
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.56348, relres: 0.705228, relerr: 1.05482
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 0.974864, relres: 0.879716, relerr: 1.05601
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.07332, relres: 0.773689, relerr: 0.90929
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.17363, relres: 0.895751, relerr: 0.988301
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.10148, relres: 0.993094, relerr: 1.04475
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.04138, relres: 0.828818, relerr: 1.29556
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.08775, relres: 1.04337, relerr: 1.27205
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.05959, relres: 0.857248, relerr: 1.07437
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.1722, relres: 0.709977, relerr: 1.23596
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.03419, relres: 0.894275, relerr: 1.06168
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 0.939235, relres: 0.712845, relerr: 1.20211
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 0.977563, relres: 0.968327, relerr: 1.33222
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.16782, relres: 0.830322, relerr: 1.07384
GerSax -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.17713, relres: 0.818275, relerr: 1.11491
