GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 0.964765, relres: 0.599121, relerr: 1.3355
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.03551, relres: 0.555966, relerr: 1.34755
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.01684, relres: 0.555428, relerr: 1.28643
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.04386, relres: 0.638378, relerr: 1.2472
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.01007, relres: 0.603314, relerr: 1.23937
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.04988, relres: 0.675767, relerr: 1.27509
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 0.994785, relres: 0.604709, relerr: 1.22074
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.03853, relres: 0.615544, relerr: 1.19945
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.02425, relres: 0.625965, relerr: 1.27042
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 0.991442, relres: 0.604775, relerr: 1.23451
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 0.95769, relres: 0.625486, relerr: 1.32029
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.01234, relres: 0.601293, relerr: 1.23473
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 0.965038, relres: 0.611221, relerr: 1.32115
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.18356, relres: 0.6362, relerr: 1.27685
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 0.961448, relres: 0.586977, relerr: 1.32539
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 0.978599, relres: 0.600925, relerr: 1.33012
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.08342, relres: 0.610601, relerr: 1.2367
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.10182, relres: 0.640561, relerr: 1.32609
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.05649, relres: 0.630328, relerr: 1.23616
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.00971, relres: 0.647523, relerr: 1.28424
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.09838, relres: 0.598726, relerr: 1.27086
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.31349, relres: 0.616026, relerr: 1.28929
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.68203, relres: 0.636049, relerr: 1.2977
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.19192, relres: 0.627186, relerr: 1.32027
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.36896, relres: 0.63149, relerr: 1.28883
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.18678, relres: 0.6558, relerr: 1.29534
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.36279, relres: 0.603262, relerr: 1.25825
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.19267, relres: 0.625463, relerr: 1.34104
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.20263, relres: 0.54165, relerr: 1.32781
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.32568, relres: 0.655459, relerr: 1.22945
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.35847, relres: 0.557778, relerr: 1.30028
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.1369, relres: 0.612221, relerr: 1.24418
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.00747, relres: 0.652334, relerr: 1.24006
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.03908, relres: 0.623121, relerr: 1.34071
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 0.979892, relres: 0.576431, relerr: 1.26746
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 0.99387, relres: 0.586378, relerr: 1.32113
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 0.982192, relres: 0.648816, relerr: 1.16342
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.02806, relres: 0.628708, relerr: 1.32778
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 0.955305, relres: 0.638827, relerr: 1.2655
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.04357, relres: 0.616101, relerr: 1.337
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 0.953653, relres: 0.606929, relerr: 1.24351
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 0.950708, relres: 0.596171, relerr: 1.24438
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 0.974419, relres: 0.60517, relerr: 1.25059
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 0.961476, relres: 0.648544, relerr: 1.29421
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.00992, relres: 0.643121, relerr: 1.28034
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.1065, relres: 0.59872, relerr: 1.23752
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.48815, relres: 0.564409, relerr: 1.24513
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.02004, relres: 0.536631, relerr: 1.30633
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 1.01992, relres: 0.62189, relerr: 1.30175
GerSax -> unitary, real, rand_init, n: 256, m: 512, iter: 2500, t: 0.963576, relres: 0.611561, relerr: 1.21166
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.07742, relres: 0.679129, relerr: 1.29898
