Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 50.3997, relres: 0.0318283, relerr: 1.37293
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 49.9758, relres: 0.0323468, relerr: 1.21539
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 50.8603, relres: 0.0359565, relerr: 1.37225
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 51.1194, relres: 0.0314417, relerr: 1.38225
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 49.0762, relres: 0.0447692, relerr: 1.32204
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 52.1134, relres: 0.0200678, relerr: 1.2967
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 49.6713, relres: 0.0278693, relerr: 1.28228
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 50.1453, relres: 0.0254784, relerr: 1.29543
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 49.8984, relres: 0.033128, relerr: 1.13317
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 51.637, relres: 0.0376772, relerr: 1.2659
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 52.4796, relres: 0.0426644, relerr: 1.31047
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 50.3643, relres: 0.0363958, relerr: 1.32792
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 53.5782, relres: 0.0288302, relerr: 1.23894
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 50.2296, relres: 0.0259081, relerr: 1.37565
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 49.614, relres: 0.0338865, relerr: 1.35028
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 49.3858, relres: 0.0332156, relerr: 1.3294
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 54.1531, relres: 0.0415086, relerr: 1.30759
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 51.168, relres: 0.0344241, relerr: 1.2714
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 48.5192, relres: 0.0480422, relerr: 1.20731
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 50.4651, relres: 0.0305114, relerr: 1.29265
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 46.8826, relres: 0.0425948, relerr: 1.36575
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 46.668, relres: 0.0473101, relerr: 1.291
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 45.3164, relres: 0.0367965, relerr: 1.35218
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 46.3506, relres: 0.0325263, relerr: 1.25822
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 46.2384, relres: 0.0397547, relerr: 1.15898
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 49.8165, relres: 0.0375051, relerr: 1.36318
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 46.0572, relres: 0.036688, relerr: 1.24542
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 45.7825, relres: 0.0358106, relerr: 1.25436
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 45.427, relres: 0.0381185, relerr: 1.3486
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 45.3612, relres: 0.0380296, relerr: 1.29008
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 48.1241, relres: 0.031292, relerr: 1.35931
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 45.5432, relres: 0.0249755, relerr: 1.37585
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 45.1003, relres: 0.0433121, relerr: 1.30744
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 48.1761, relres: 0.0384842, relerr: 1.38228
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 44.5566, relres: 0.0213802, relerr: 1.29127
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 45.952, relres: 0.0233943, relerr: 1.30434
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 46.051, relres: 0.0398431, relerr: 1.33616
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 45.2364, relres: 0.0322582, relerr: 1.25227
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 44.9904, relres: 0.0344895, relerr: 1.24111
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 44.8718, relres: 0.0392223, relerr: 1.06679
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 45.0523, relres: 0.0421462, relerr: 1.38722
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 45.8096, relres: 0.0320644, relerr: 1.23775
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 49.3948, relres: 0.0439884, relerr: 1.35093
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 58.0751, relres: 0.0243781, relerr: 1.30012
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 53.5028, relres: 0.0470135, relerr: 1.18496
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 55.8862, relres: 0.0288666, relerr: 1.28167
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 50.8782, relres: 0.0443074, relerr: 1.26229
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 52.2686, relres: 0.0210349, relerr: 1.1014
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 55.0596, relres: 0.0354759, relerr: 1.34953
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 56.7979, relres: 0.0223097, relerr: 1.18813
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 55.7084, relres: 0.0884959, relerr: 1.332
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 53.9046, relres: 0.0853775, relerr: 1.32675
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 47.528, relres: 0.0826312, relerr: 1.22
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 47.5852, relres: 0.0792578, relerr: 1.27607
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 48.4173, relres: 0.0811006, relerr: 1.13982
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 47.7041, relres: 0.0706202, relerr: 1.14671
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 51.2108, relres: 0.0849121, relerr: 1.29416
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 50.2419, relres: 0.0719129, relerr: 1.13477
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 50.7096, relres: 0.0980635, relerr: 1.31241
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 58.2591, relres: 0.0809828, relerr: 1.31714
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 65.058, relres: 0.0976053, relerr: 1.12654
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 62.0416, relres: 0.0913773, relerr: 1.12629
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 53.4009, relres: 0.0824597, relerr: 1.2925
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 51.348, relres: 0.0732875, relerr: 1.22768
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 51.3018, relres: 0.0729878, relerr: 1.27346
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 53.5058, relres: 0.0698196, relerr: 1.22973
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 50.9278, relres: 0.0783424, relerr: 1.23804
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 51.2555, relres: 0.0892833, relerr: 1.26502
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 49.3205, relres: 0.0637323, relerr: 1.03086
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 49.8242, relres: 0.0807542, relerr: 1.1929
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 51.5206, relres: 0.0910133, relerr: 1.14703
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 51.3134, relres: 0.0851387, relerr: 1.2289
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 53.6755, relres: 0.0699755, relerr: 1.28343
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 49.7548, relres: 0.0795358, relerr: 1.28702
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 51.3843, relres: 0.0860865, relerr: 1.13466
