Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 48.8947, relres: 0.0513336, relerr: 1.3385
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 45.7759, relres: 0.0522712, relerr: 1.24626
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 45.7674, relres: 0.0457887, relerr: 1.34981
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 47.6479, relres: 0.0550425, relerr: 1.38688
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 47.4185, relres: 0.0478299, relerr: 1.34885
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 48.9285, relres: 0.0351607, relerr: 1.39364
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 47.6614, relres: 0.0408063, relerr: 1.38305
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 48.9338, relres: 0.0252543, relerr: 1.36577
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 46.7053, relres: 0.0494635, relerr: 1.32276
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 46.3874, relres: 0.039386, relerr: 1.36214
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 47.7601, relres: 0.0464757, relerr: 1.26876
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 47.2452, relres: 0.0422942, relerr: 1.231
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 45.324, relres: 0.0424249, relerr: 1.34751
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 45.4907, relres: 0.0342344, relerr: 1.35496
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 45.3501, relres: 0.0472863, relerr: 1.32725
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 45.7911, relres: 0.0334038, relerr: 1.25327
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 45.3824, relres: 0.0437375, relerr: 1.22761
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 45.753, relres: 0.0308462, relerr: 1.34555
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 45.1784, relres: 0.0398254, relerr: 1.33124
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 45.4053, relres: 0.062802, relerr: 1.32181
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 45.9007, relres: 0.0441004, relerr: 1.2631
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 45.46, relres: 0.028137, relerr: 1.30901
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 46.1567, relres: 0.0487414, relerr: 1.31243
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 44.7166, relres: 0.0493535, relerr: 1.31602
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 45.6741, relres: 0.0298391, relerr: 1.33502
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 45.4198, relres: 0.0556154, relerr: 1.27003
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 45.6392, relres: 0.0377182, relerr: 1.28641
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 46.0797, relres: 0.0287631, relerr: 1.37038
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 47.0635, relres: 0.0350501, relerr: 1.2549
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 45.2026, relres: 0.0399764, relerr: 1.26248
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 46.1694, relres: 0.0509437, relerr: 1.34513
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 46.2836, relres: 0.0405583, relerr: 1.3982
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 48.8577, relres: 0.0342216, relerr: 1.39297
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 57.5344, relres: 0.0377141, relerr: 1.34643
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 61.0487, relres: 0.0526949, relerr: 1.3428
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 59.1267, relres: 0.0520275, relerr: 1.25895
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 58.4978, relres: 0.0440931, relerr: 1.34213
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 57.9107, relres: 0.0403739, relerr: 1.39087
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 58.9273, relres: 0.0378098, relerr: 1.34374
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 58.5934, relres: 0.0331615, relerr: 1.30961
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 59.3788, relres: 0.0260542, relerr: 1.23026
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 58.3652, relres: 0.0307509, relerr: 1.32465
