Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 512, iter: 500, t: 20.3473, relres: 0.466569, relerr: 1.24928
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 512, iter: 500, t: 19.4597, relres: 0.431815, relerr: 1.05517
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 512, iter: 500, t: 19.7983, relres: 0.495501, relerr: 1.08026
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 512, iter: 500, t: 19.8871, relres: 0.520382, relerr: 1.2194
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 512, iter: 500, t: 19.8681, relres: 0.413496, relerr: 1.10287
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 512, iter: 500, t: 25.038, relres: 0.502829, relerr: 1.27231
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 512, iter: 500, t: 23.1768, relres: 0.505023, relerr: 1.10627
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 512, iter: 500, t: 20.4621, relres: 0.493813, relerr: 1.33603
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 512, iter: 500, t: 20.0066, relres: 0.390739, relerr: 1.14531
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 512, iter: 500, t: 19.4955, relres: 0.393237, relerr: 1.06515
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 512, iter: 500, t: 19.8324, relres: 0.472766, relerr: 1.03382
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 512, iter: 500, t: 19.6441, relres: 0.496433, relerr: 1.41265
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 512, iter: 500, t: 19.9114, relres: 0.46299, relerr: 1.30898
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 512, iter: 500, t: 19.649, relres: 0.489792, relerr: 1.08148
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 512, iter: 500, t: 20.1173, relres: 0.425074, relerr: 1.35814
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 512, iter: 500, t: 19.6503, relres: 0.454142, relerr: 0.917283
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 512, iter: 500, t: 20.0797, relres: 0.491106, relerr: 1.12326
