Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 18.8985, relres: 0.497689, relerr: 1.39304
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 18.5278, relres: 0.52012, relerr: 1.40828
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 19.0362, relres: 0.51642, relerr: 1.26268
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 18.6186, relres: 0.474296, relerr: 1.22496
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 18.9223, relres: 0.54155, relerr: 1.20664
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 18.6535, relres: 0.555571, relerr: 1.40045
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 18.8228, relres: 0.523604, relerr: 1.27066
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 18.5793, relres: 0.491703, relerr: 1.23858
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 18.93, relres: 0.491904, relerr: 1.33737
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 18.569, relres: 0.558259, relerr: 1.153
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 19.0185, relres: 0.542176, relerr: 1.38774
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 18.4258, relres: 0.525096, relerr: 1.266
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 18.9205, relres: 0.470329, relerr: 1.33006
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 18.9684, relres: 0.562375, relerr: 1.34119
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 18.9547, relres: 0.516692, relerr: 1.23426
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 19.1765, relres: 0.570766, relerr: 1.36717
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 23.0518, relres: 0.508164, relerr: 1.28053
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 19.0621, relres: 0.548719, relerr: 1.37511
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 19.4683, relres: 0.539509, relerr: 1.38507
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 19.1116, relres: 0.483048, relerr: 1.31232
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 21.1864, relres: 0.528176, relerr: 1.26562
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 21.9243, relres: 0.52461, relerr: 1.40814
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 23.1404, relres: 0.507719, relerr: 1.30662
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 21.8927, relres: 0.455021, relerr: 1.2876
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 23.4525, relres: 0.481652, relerr: 1.41203
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 22.5224, relres: 0.533228, relerr: 1.38501
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 22.808, relres: 0.525205, relerr: 1.39581
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 21.8514, relres: 0.538067, relerr: 1.31003
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 22.3438, relres: 0.532304, relerr: 1.35645
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 22.4885, relres: 0.571355, relerr: 1.30241
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 21.3113, relres: 0.515325, relerr: 1.39025
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 18.809, relres: 0.56381, relerr: 1.38483
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 19.1744, relres: 0.531224, relerr: 1.1827
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 18.9413, relres: 0.576316, relerr: 1.29728
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 18.7419, relres: 0.518669, relerr: 1.35124
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 19.076, relres: 0.549735, relerr: 1.25051
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 26.3206, relres: 0.49902, relerr: 1.20075
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 19.0648, relres: 0.597198, relerr: 1.38506
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 19.1376, relres: 0.53986, relerr: 1.29315
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 18.3992, relres: 0.496363, relerr: 1.39395
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 18.6624, relres: 0.44941, relerr: 1.05854
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 18.3432, relres: 0.474571, relerr: 1.40858
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 18.9747, relres: 0.526213, relerr: 1.28374
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 18.5228, relres: 0.447134, relerr: 1.29555
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 20.2964, relres: 0.470122, relerr: 1.40097
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 20.5995, relres: 0.518336, relerr: 1.36005
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 20.9239, relres: 0.540799, relerr: 1.2901
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 18.3443, relres: 0.496958, relerr: 1.38181
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 18.722, relres: 0.493788, relerr: 1.39171
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 512, iter: 500, t: 18.9701, relres: 0.462475, relerr: 1.28632
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 19.6555, relres: 0.575613, relerr: 1.17291
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 20.2922, relres: 0.59273, relerr: 1.41348
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 19.5961, relres: 0.552738, relerr: 1.34948
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 20.5177, relres: 0.506638, relerr: 1.13784
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 21.1532, relres: 0.647413, relerr: 1.31239
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 20.0626, relres: 0.539399, relerr: 1.35087
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 20.7227, relres: 0.52178, relerr: 1.15688
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 20.4603, relres: 0.516691, relerr: 1.38494
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 20.7099, relres: 0.474953, relerr: 1.40056
