Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 6.62955, relres: 0.546806, relerr: 1.17837
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 7.17235, relres: 0.562308, relerr: 1.0116
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 6.23509, relres: 0.548709, relerr: 1.08095
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 8.2113, relres: 0.527764, relerr: 1.1748
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 7.40131, relres: 0.540128, relerr: 1.02674
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 7.34618, relres: 0.561468, relerr: 1.16823
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 8.1061, relres: 0.546781, relerr: 1.04508
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 6.58233, relres: 0.539705, relerr: 1.03228
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 7.44572, relres: 0.518507, relerr: 0.992022
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 7.52944, relres: 0.466322, relerr: 1.10816
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 7.43143, relres: 0.489362, relerr: 1.14279
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 7.54212, relres: 0.603489, relerr: 1.0713
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 7.26248, relres: 0.530139, relerr: 1.02486
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 6.77803, relres: 0.488542, relerr: 1.12717
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 6.67352, relres: 0.520112, relerr: 1.00898
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 7.35366, relres: 0.508169, relerr: 1.1102
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 6.49504, relres: 0.481908, relerr: 1.14656
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 7.46367, relres: 0.52572, relerr: 0.990121
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 6.42055, relres: 0.482655, relerr: 1.08374
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 8.45965, relres: 0.53366, relerr: 1.0283
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 7.23407, relres: 0.501953, relerr: 1.04054
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 6.04002, relres: 0.500526, relerr: 0.966247
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 6.49198, relres: 0.547876, relerr: 1.06965
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 6.53231, relres: 0.477301, relerr: 0.982874
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 7.11941, relres: 0.47074, relerr: 0.957829
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 6.02726, relres: 0.479413, relerr: 1.1204
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 5.85413, relres: 0.558604, relerr: 1.05722
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 7.32824, relres: 0.538554, relerr: 1.02827
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 6.06048, relres: 0.552331, relerr: 1.14237
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 6.57722, relres: 0.552527, relerr: 1.09118
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 7.48353, relres: 0.535125, relerr: 1.06075
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 6.42152, relres: 0.552505, relerr: 1.09983
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 6.49379, relres: 0.498898, relerr: 0.962923
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 9.49473, relres: 0.509201, relerr: 1.10113
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 5.56811, relres: 0.499277, relerr: 1.08302
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 6.28858, relres: 0.486184, relerr: 1.16443
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 7.2114, relres: 0.505325, relerr: 1.09889
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 6.38475, relres: 0.508915, relerr: 1.11324
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 6.39962, relres: 0.54411, relerr: 1.09691
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 6.14427, relres: 0.488939, relerr: 1.01173
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 6.57389, relres: 0.560656, relerr: 1.14301
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 6.43064, relres: 0.501146, relerr: 1.06166
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 5.77665, relres: 0.536045, relerr: 1.03012
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 7.6151, relres: 0.53671, relerr: 1.09384
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 8.17132, relres: 0.486187, relerr: 1.02265
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 8.09465, relres: 0.575389, relerr: 1.0091
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 7.58337, relres: 0.457857, relerr: 1.07855
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 9.07477, relres: 0.512573, relerr: 0.878065
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 7.90926, relres: 0.512324, relerr: 1.06697
Wirtinger -> unitary, complex, eig_init, n: 256, m: 512, iter: 2500, t: 8.20865, relres: 0.474819, relerr: 0.963308
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 10.4572, relres: 0.546072, relerr: 1.04709
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 10.0141, relres: 0.49378, relerr: 1.18892
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 8.72706, relres: 0.559259, relerr: 0.997682
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 8.78671, relres: 0.499931, relerr: 1.09003
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 8.02068, relres: 0.464556, relerr: 0.853461
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 9.10857, relres: 0.500367, relerr: 0.922747
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 8.51514, relres: 0.574437, relerr: 1.08046
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 9.17401, relres: 0.534499, relerr: 0.933328
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 7.77586, relres: 0.52591, relerr: 1.04579
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 10.3269, relres: 0.568929, relerr: 1.08948
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 10.7834, relres: 0.461316, relerr: 0.968544
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 13.1647, relres: 0.506074, relerr: 1.00437
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 9.9161, relres: 0.497546, relerr: 1.13111
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 9.49129, relres: 0.50016, relerr: 0.930246
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 9.48922, relres: 0.518769, relerr: 1.01176
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 8.56813, relres: 0.534652, relerr: 0.966012
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 9.75407, relres: 0.536114, relerr: 1.06897
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 9.57112, relres: 0.476741, relerr: 1.0311
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 7.5298, relres: 0.476373, relerr: 0.858614
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 9.49918, relres: 0.487772, relerr: 0.980927
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 9.67943, relres: 0.519512, relerr: 1.01627
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 9.73909, relres: 0.531516, relerr: 0.930266
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 9.28455, relres: 0.484286, relerr: 1.06308
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 8.56446, relres: 0.480117, relerr: 0.969684
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 9.69548, relres: 0.451251, relerr: 0.946889
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 9.91396, relres: 0.494947, relerr: 0.945858
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 8.71002, relres: 0.463562, relerr: 0.931791
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 10.2655, relres: 0.501754, relerr: 1.0309
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 10.7905, relres: 0.516077, relerr: 1.10406
