Wirtinger -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 3.00196, relres: 0.452162, relerr: 0.964726
Wirtinger -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 2.01688, relres: 0.364475, relerr: 0.693439
Wirtinger -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 4.80255, relres: 0.337876, relerr: 0.504564
Wirtinger -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 1.90589, relres: 0.448751, relerr: 0.968939
Wirtinger -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 3.14645, relres: 0.479568, relerr: 0.855243
Wirtinger -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 2.42742, relres: 0.401666, relerr: 1.17435
Wirtinger -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 3.21691, relres: 0.432218, relerr: 1.01302
Wirtinger -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 3.97918, relres: 0.478805, relerr: 0.985154
Wirtinger -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 2.9265, relres: 0.376943, relerr: 0.975125
Wirtinger -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 2.14958, relres: 0.402763, relerr: 0.720186
Wirtinger -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 3.04775, relres: 0.441866, relerr: 0.865111
Wirtinger -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 2.10956, relres: 0.492039, relerr: 1.1158
Wirtinger -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 2.99263, relres: 0.447928, relerr: 1.18454
Wirtinger -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 2.17762, relres: 0.427855, relerr: 0.873274
Wirtinger -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 2.97343, relres: 0.46653, relerr: 1.09923
Wirtinger -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 2.11251, relres: 0.440315, relerr: 0.74877
Wirtinger -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 2.98631, relres: 0.428713, relerr: 1.02115
Wirtinger -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 2.06736, relres: 0.430049, relerr: 1.01136
Wirtinger -> unitary, real, eig_init, n: 256, m: 512, iter: 2500, t: 3.28654, relres: 0.407176, relerr: 0.851681
